BioSample,refGenome
SAMEA3334441,GCF_000738735.5
SAMEA3334442,GCF_000738735.5
SAMEA3334443,GCF_000738735.5
SAMEA3334444,GCF_000738735.5
SAMEA3334445,GCF_000738735.5
SAMEA3334446,GCF_000738735.5
SAMEA3334447,GCF_000738735.5
SAMEA3334448,GCF_000738735.5
SAMEA3334449,GCF_000738735.5
SAMEA3334450,GCF_000738735.5
SAMEA3334451,GCF_000738735.5
SAMEA3334452,GCF_000738735.5
SAMEA3334453,GCF_000738735.5
SAMEA3334454,GCF_000738735.5
SAMEA3334455,GCF_000738735.5
SAMEA3334456,GCF_000738735.5
SAMEA3334457,GCF_000738735.5
SAMEA3334458,GCF_000738735.5
SAMEA3334459,GCF_000738735.5
SAMEA3334460,GCF_000738735.5
SAMEA3334461,GCF_000738735.5
SAMEA3334462,GCF_000738735.5
SAMEA3334463,GCF_000738735.5
SAMEA3334464,GCF_000738735.5
SAMEA3334465,GCF_000738735.5
SAMEA3334466,GCF_000738735.5
SAMEA3334467,GCF_000738735.5
SAMEA3334468,GCF_000738735.5
SAMEA3334469,GCF_000738735.5
SAMEA3334470,GCF_000738735.5
SAMEA3334471,GCF_000738735.5
SAMEA3334472,GCF_000738735.5
SAMEA3334473,GCF_000738735.5
SAMEA3334474,GCF_000738735.5
SAMEA3334475,GCF_000738735.5
SAMEA3334476,GCF_000738735.5
SAMEA3334477,GCF_000738735.5
SAMEA3334478,GCF_000738735.5
SAMEA3334479,GCF_000738735.5
SAMEA3334480,GCF_000738735.5
SAMEA3334481,GCF_000738735.5
SAMEA3334482,GCF_000738735.5
SAMEA3334483,GCF_000738735.5
SAMEA3334484,GCF_000738735.5
SAMEA3334485,GCF_000738735.5
SAMEA3334486,GCF_000738735.5
SAMEA3334487,GCF_000738735.5
SAMEA3334488,GCF_000738735.5
SAMEA3334489,GCF_000738735.5
SAMEA3334490,GCF_000738735.5
SAMEA3334491,GCF_000738735.5
SAMEA3334492,GCF_000738735.5
SAMEA3334493,GCF_000738735.5
SAMEA3334494,GCF_000738735.5
SAMEA3334495,GCF_000738735.5
SAMEA3334496,GCF_000738735.5
SAMEA3334497,GCF_000738735.5
SAMEA3334498,GCF_000738735.5
SAMEA3334499,GCF_000738735.5
SAMEA3334500,GCF_000738735.5
SAMEA3334501,GCF_000738735.5
SAMEA3334502,GCF_000738735.5
SAMEA3334503,GCF_000738735.5
SAMEA3334504,GCF_000738735.5
SAMEA3334505,GCF_000738735.5
SAMEA3334506,GCF_000738735.5
SAMEA3334507,GCF_000738735.5
SAMEA3334508,GCF_000738735.5
SAMEA3334509,GCF_000738735.5
SAMEA3334510,GCF_000738735.5
SAMEA3334511,GCF_000738735.5
SAMEA3334512,GCF_000738735.5
SAMEA3334513,GCF_000738735.5
SAMEA3334514,GCF_000738735.5
SAMEA3334515,GCF_000738735.5
SAMEA3334516,GCF_000738735.5
SAMEA3334517,GCF_000738735.5
SAMEA3334518,GCF_000738735.5
SAMEA3334519,GCF_000738735.5
SAMEA3334520,GCF_000738735.5
SAMEA3334521,GCF_000738735.5
SAMEA3334522,GCF_000738735.5
SAMEA3334523,GCF_000738735.5
SAMEA3334524,GCF_000738735.5
SAMEA3334525,GCF_000738735.5
SAMEA3334526,GCF_000738735.5
SAMEA3334527,GCF_000738735.5
SAMEA3334528,GCF_000738735.5
SAMEA3334529,GCF_000738735.5
SAMEA3334530,GCF_000738735.5
SAMEA3334531,GCF_000738735.5
SAMEA3334532,GCF_000738735.5
SAMEA3334533,GCF_000738735.5
SAMEA3334534,GCF_000738735.5
SAMEA3334535,GCF_000738735.5
SAMEA3334536,GCF_000738735.5
SAMEA3334537,GCF_000738735.5
SAMEA3334538,GCF_000738735.5
SAMEA3334539,GCF_000738735.5
SAMEA3334540,GCF_000738735.5
SAMEA3334541,GCF_000738735.5
SAMEA3334542,GCF_000738735.5
SAMEA3334543,GCF_000738735.5
SAMEA3334544,GCF_000738735.5
SAMEA3334545,GCF_000738735.5
SAMEA3334546,GCF_000738735.5
SAMEA3334547,GCF_000738735.5
SAMEA3334548,GCF_000738735.5
SAMEA3334549,GCF_000738735.5
SAMEA3334550,GCF_000738735.5
SAMEA3334551,GCF_000738735.5
SAMEA3334552,GCF_000738735.5
SAMEA3334553,GCF_000738735.5
SAMEA3334554,GCF_000738735.5
SAMEA3334555,GCF_000738735.5
SAMEA3334556,GCF_000738735.5
SAMEA3334557,GCF_000738735.5
SAMEA3334558,GCF_000738735.5
SAMEA3334559,GCF_000738735.5
SAMEA5089884,GCF_000738735.5
SAMEA5089885,GCF_000738735.5
SAMEA5089886,GCF_000738735.5
SAMEA5089887,GCF_000738735.5
SAMEA5089888,GCF_000738735.5
SAMEA5089889,GCF_000738735.5
