BioSample,refGenome
SAMEA6815653,GCA_013435755.1
SAMEA6815654,GCA_013435755.1
SAMEA6815655,GCA_013435755.1
SAMEA6815657,GCA_013435755.1
SAMEA6815658,GCA_013435755.1
SAMEA6815659,GCA_013435755.1
SAMEA6815660,GCA_013435755.1
SAMEA6815661,GCA_013435755.1
SAMEA6815662,GCA_013435755.1
SAMEA6815663,GCA_013435755.1
SAMEA6815664,GCA_013435755.1
SAMEA6815665,GCA_013435755.1
SAMEA6815666,GCA_013435755.1
SAMEA6815667,GCA_013435755.1
SAMEA6815669,GCA_013435755.1
SAMEA6815670,GCA_013435755.1
SAMEA6815671,GCA_013435755.1
SAMEA6815672,GCA_013435755.1
SAMEA6815674,GCA_013435755.1
SAMEA6815675,GCA_013435755.1
SAMEA6815676,GCA_013435755.1
SAMEA6815673,GCA_013435755.1
SAMEA6815656,GCA_013435755.1
