BioSample,refGenome
SAMN14363278,GCF_001891065.1
SAMN14363276,GCF_001891065.1
SAMN14363274,GCF_001891065.1
SAMN14363271,GCF_001891065.1
SAMN14363268,GCF_001891065.1
SAMN14363277,GCF_001891065.1
SAMN14363275,GCF_001891065.1
SAMN14363273,GCF_001891065.1
SAMN14363270,GCF_001891065.1
SAMN14363269,GCF_001891065.1
SAMN14363267,GCF_001891065.1
SAMN14363286,GCF_001891065.1
SAMN14363285,GCF_001891065.1
SAMN14363284,GCF_001891065.1
SAMN14363283,GCF_001891065.1
SAMN14363282,GCF_001891065.1
SAMN14363281,GCF_001891065.1
SAMN14363280,GCF_001891065.1
SAMN14363279,GCF_001891065.1
SAMN14363272,GCF_001891065.1
