BioSample,refGenome
SAMN02143031,GCF_000738735.5
SAMN02439805,GCF_000738735.5
SAMN02439806,GCF_000738735.5
SAMN02439807,GCF_000738735.5
SAMN02439808,GCF_000738735.5
SAMN02439809,GCF_000738735.5
SAMN02439810,GCF_000738735.5
SAMN02439811,GCF_000738735.5
SAMN02439812,GCF_000738735.5
SAMN02439814,GCF_000738735.5
SAMN02439813,GCF_000738735.5
SAMN02439815,GCF_000738735.5
SAMN02439816,GCF_000738735.5
SAMN02439817,GCF_000738735.5
SAMN02439818,GCF_000738735.5
SAMN02439819,GCF_000738735.5
SAMN02439820,GCF_000738735.5
SAMN02439821,GCF_000738735.5
SAMN02439822,GCF_000738735.5
SAMN02439823,GCF_000738735.5
SAMN02439824,GCF_000738735.5
SAMN02439825,GCF_000738735.5
SAMN02439826,GCF_000738735.5
SAMN02439827,GCF_000738735.5
SAMN02439828,GCF_000738735.5
SAMN02439829,GCF_000738735.5
SAMN02439830,GCF_000738735.5
SAMN02439831,GCF_000738735.5
SAMN02439832,GCF_000738735.5
SAMN02439833,GCF_000738735.5
SAMN02439834,GCF_000738735.5
