BioSample,lat,long,refGenome
SAMN09425179,NA,NA,GCA_003426825.1
SAMN10581952,NA,NA,GCA_003426825.1
SAMN10592523,NA,NA,GCA_003426825.1
SAMN10592522,NA,NA,GCA_003426825.1
SAMN10592520,NA,NA,GCA_003426825.1
SAMN10592519,NA,NA,GCA_003426825.1
SAMN10592518,NA,NA,GCA_003426825.1
SAMN10592517,NA,NA,GCA_003426825.1
SAMN10592516,NA,NA,GCA_003426825.1
SAMN10592515,NA,NA,GCA_003426825.1
SAMN10592514,5.383333206176758,7,GCA_003426825.1
SAMN10592528,NA,NA,GCA_003426825.1
SAMN10592531,NA,NA,GCA_003426825.1
SAMN10592525,NA,NA,GCA_003426825.1
SAMN10592524,NA,NA,GCA_003426825.1
SAMN10592527,NA,NA,GCA_003426825.1
SAMN10592526,NA,NA,GCA_003426825.1
SAMN10592532,NA,NA,GCA_003426825.1
SAMN10592529,NA,NA,GCA_003426825.1
SAMN10592530,NA,NA,GCA_003426825.1
SAMN10592521,NA,NA,GCA_003426825.1
