BioSample,refGenome
SAMEA3175116,GCF_000247815.1
SAMEA3175117,GCF_000247815.1
SAMEA3175118,GCF_000247815.1
SAMEA3175119,GCF_000247815.1
SAMEA3175120,GCF_000247815.1
SAMEA3175122,GCF_000247815.1
SAMEA3175123,GCF_000247815.1
SAMEA3175124,GCF_000247815.1
SAMEA3175125,GCF_000247815.1
SAMEA3175126,GCF_000247815.1
SAMEA3175127,GCF_000247815.1
SAMEA3175128,GCF_000247815.1
SAMEA3175129,GCF_000247815.1
SAMEA3175130,GCF_000247815.1
SAMEA3175131,GCF_000247815.1
SAMEA3175132,GCF_000247815.1
SAMEA3175133,GCF_000247815.1
SAMEA3175134,GCF_000247815.1
SAMEA3175135,GCF_000247815.1
SAMEA3175121,GCF_000247815.1
