BioProject,BioSample,Organism,sex,Country,Locality,Continent,refGenome,refSpecies
PRJNA309350,SAMN04432132,Egretta_garzetta,missing,China,Shanxi,Asia,GCF_000687185.1,Egretta_garzetta
PRJNA309350,SAMN04432133,Egretta_garzetta,missing,China,Shanxi,Asia,GCF_000687185.1,Egretta_garzetta
PRJNA309350,SAMN04432134,Egretta_garzetta,missing,China,Shanxi,Asia,GCF_000687185.1,Egretta_garzetta
PRJNA309350,SAMN04432136,Egretta_garzetta,missing,China,Shanxi,Asia,GCF_000687185.1,Egretta_garzetta
PRJNA309350,SAMN04432135,Egretta_garzetta,missing,China,Shanxi,Asia,GCF_000687185.1,Egretta_garzetta
