BioSample,refGenome
SAMN14363244,GCF_001891065.1
SAMN14363242,GCF_001891065.1
SAMN14363240,GCF_001891065.1
SAMN14363237,GCF_001891065.1
SAMN14363235,GCF_001891065.1
SAMN14363233,GCF_001891065.1
SAMN14363232,GCF_001891065.1
SAMN14363230,GCF_001891065.1
SAMN14363229,GCF_001891065.1
SAMN14363228,GCF_001891065.1
SAMN14363226,GCF_001891065.1
SAMN14363225,GCF_001891065.1
SAMN14363246,GCF_001891065.1
SAMN14363245,GCF_001891065.1
SAMN14363243,GCF_001891065.1
SAMN14363241,GCF_001891065.1
SAMN14363239,GCF_001891065.1
SAMN14363236,GCF_001891065.1
SAMN14363234,GCF_001891065.1
SAMN14363231,GCF_001891065.1
SAMN14363227,GCF_001891065.1
SAMN14363238,GCF_001891065.1
