BioSample,refGenome
SAMN09786120,GCF_000239415.1
SAMN09786121,GCF_000239415.1
SAMN09786118,GCF_000239415.1
SAMN09786119,GCF_000239415.1
SAMN09786116,GCF_000239415.1
SAMN09786117,GCF_000239415.1
SAMN09786114,GCF_000239415.1
SAMN09786115,GCF_000239415.1
SAMN09786122,GCF_000239415.1
SAMN09786123,GCF_000239415.1
SAMN09786107,GCF_000239415.1
SAMN09786106,GCF_000239415.1
SAMN09786105,GCF_000239415.1
SAMN09786104,GCF_000239415.1
SAMN09786111,GCF_000239415.1
SAMN09786110,GCF_000239415.1
SAMN09786109,GCF_000239415.1
SAMN09786108,GCF_000239415.1
SAMN09786113,GCF_000239415.1
SAMN09786077,GCF_000239415.1
SAMN09786076,GCF_000239415.1
SAMN09786125,GCF_000239415.1
SAMN09786075,GCF_000239415.1
SAMN09786080,GCF_000239415.1
SAMN09786079,GCF_000239415.1
SAMN09786078,GCF_000239415.1
SAMN09786174,GCF_000239415.1
SAMN09786175,GCF_000239415.1
SAMN09786176,GCF_000239415.1
SAMN09786177,GCF_000239415.1
SAMN09786178,GCF_000239415.1
SAMN09786179,GCF_000239415.1
SAMN09786180,GCF_000239415.1
SAMN09786181,GCF_000239415.1
SAMN09786102,GCF_000239415.1
SAMN09786103,GCF_000239415.1
SAMN09786098,GCF_000239415.1
SAMN09786100,GCF_000239415.1
SAMN09786101,GCF_000239415.1
SAMN09786094,GCF_000239415.1
SAMN09786095,GCF_000239415.1
SAMN09786096,GCF_000239415.1
SAMN09786097,GCF_000239415.1
SAMN09786193,GCF_000239415.1
SAMN09786192,GCF_000239415.1
SAMN09786191,GCF_000239415.1
SAMN09786190,GCF_000239415.1
SAMN09786189,GCF_000239415.1
SAMN09786188,GCF_000239415.1
SAMN09786187,GCF_000239415.1
SAMN09786186,GCF_000239415.1
SAMN09786185,GCF_000239415.1
SAMN09786184,GCF_000239415.1
SAMN09786164,GCF_000239415.1
SAMN09786167,GCF_000239415.1
SAMN09786166,GCF_000239415.1
SAMN09786169,GCF_000239415.1
SAMN09786168,GCF_000239415.1
SAMN09786171,GCF_000239415.1
SAMN09786170,GCF_000239415.1
SAMN09786173,GCF_000239415.1
SAMN09786172,GCF_000239415.1
SAMN09786074,GCF_000239415.1
SAMN09786093,GCF_000239415.1
SAMN09786092,GCF_000239415.1
SAMN09786085,GCF_000239415.1
SAMN09786086,GCF_000239415.1
SAMN09786089,GCF_000239415.1
SAMN09786088,GCF_000239415.1
SAMN09786091,GCF_000239415.1
SAMN09786090,GCF_000239415.1
SAMN09786153,GCF_000239415.1
SAMN09786152,GCF_000239415.1
SAMN09786081,GCF_000239415.1
SAMN09786150,GCF_000239415.1
SAMN09786149,GCF_000239415.1
SAMN09786148,GCF_000239415.1
SAMN09786145,GCF_000239415.1
SAMN09786144,GCF_000239415.1
SAMN09786202,GCF_000239415.1
SAMN09786196,GCF_000239415.1
SAMN09786197,GCF_000239415.1
SAMN09786194,GCF_000239415.1
SAMN09786195,GCF_000239415.1
SAMN09786200,GCF_000239415.1
SAMN09786201,GCF_000239415.1
SAMN09786198,GCF_000239415.1
SAMN09786199,GCF_000239415.1
SAMN09786156,GCF_000239415.1
SAMN09786157,GCF_000239415.1
SAMN09786154,GCF_000239415.1
SAMN09786155,GCF_000239415.1
SAMN09786160,GCF_000239415.1
SAMN09786161,GCF_000239415.1
SAMN09786158,GCF_000239415.1
SAMN09786159,GCF_000239415.1
SAMN09786162,GCF_000239415.1
SAMN09786163,GCF_000239415.1
SAMN09786142,GCF_000239415.1
SAMN09786134,GCF_000239415.1
SAMN09786136,GCF_000239415.1
SAMN09786137,GCF_000239415.1
SAMN09786138,GCF_000239415.1
SAMN09786139,GCF_000239415.1
SAMN09786140,GCF_000239415.1
SAMN09786141,GCF_000239415.1
SAMN09786205,GCF_000239415.1
SAMN09786204,GCF_000239415.1
SAMN09786151,GCF_000239415.1
SAMN09786129,GCF_000239415.1
SAMN09786128,GCF_000239415.1
SAMN09786131,GCF_000239415.1
SAMN09786130,GCF_000239415.1
SAMN09786124,GCF_000239415.1
SAMN09786127,GCF_000239415.1
SAMN09786126,GCF_000239415.1
SAMN09786133,GCF_000239415.1
SAMN09786132,GCF_000239415.1
SAMN09786083,GCF_000239415.1
SAMN09786165,GCF_000239415.1
SAMN09786143,GCF_000239415.1
SAMN09786147,GCF_000239415.1
SAMN09786099,GCF_000239415.1
SAMN09786084,GCF_000239415.1
SAMN09786146,GCF_000239415.1
SAMN09786183,GCF_000239415.1
SAMN09786203,GCF_000239415.1
SAMN09786135,GCF_000239415.1
SAMN09786112,GCF_000239415.1
SAMN09786082,GCF_000239415.1
SAMN09786087,GCF_000239415.1
SAMN09786182,GCF_000239415.1
