BioSample,refGenome
SAMN10928600,GCF_901000725.2
SAMN10928599,GCF_901000725.2
SAMN10928598,GCF_901000725.2
SAMN10928595,GCF_901000725.2
SAMN10928594,GCF_901000725.2
SAMN10928597,GCF_901000725.2
SAMN10928596,GCF_901000725.2
SAMN10928591,GCF_901000725.2
SAMN10928593,GCF_901000725.2
SAMN10928592,GCF_901000725.2
SAMN10928588,GCF_901000725.2
SAMN10928589,GCF_901000725.2
SAMN10928586,GCF_901000725.2
SAMN10928587,GCF_901000725.2
SAMN10928584,GCF_901000725.2
SAMN10928585,GCF_901000725.2
SAMN10928582,GCF_901000725.2
SAMN10928583,GCF_901000725.2
SAMN10928580,GCF_901000725.2
SAMN10928581,GCF_901000725.2
SAMN10928579,GCF_901000725.2
SAMN10928578,GCF_901000725.2
SAMN10928573,GCF_901000725.2
SAMN10928572,GCF_901000725.2
SAMN10928571,GCF_901000725.2
SAMN10928577,GCF_901000725.2
SAMN10928576,GCF_901000725.2
SAMN10928575,GCF_901000725.2
SAMN10928574,GCF_901000725.2
SAMN10928590,GCF_901000725.2
