BioSample,refGenome
SAMN09786233,GCF_000239415.1
SAMN09786232,GCF_000239415.1
SAMN09786231,GCF_000239415.1
SAMN09786240,GCF_000239415.1
SAMN09786241,GCF_000239415.1
SAMN09786239,GCF_000239415.1
SAMN09786236,GCF_000239415.1
SAMN09786237,GCF_000239415.1
SAMN09786234,GCF_000239415.1
SAMN09786235,GCF_000239415.1
SAMN09786242,GCF_000239415.1
SAMN09786243,GCF_000239415.1
SAMN09786248,GCF_000239415.1
SAMN09786251,GCF_000239415.1
SAMN09786250,GCF_000239415.1
SAMN09786245,GCF_000239415.1
SAMN09786247,GCF_000239415.1
SAMN09786246,GCF_000239415.1
SAMN09786253,GCF_000239415.1
SAMN09786252,GCF_000239415.1
SAMN09786249,GCF_000239415.1
SAMN09786238,GCF_000239415.1
SAMN09786244,GCF_000239415.1
SAMN09786230,GCF_000239415.1
