BioSample,refGenome
SAMN10751928,GCA_003676055.1
SAMN10751929,GCA_003676055.1
SAMN10751926,GCA_003676055.1
SAMN10751927,GCA_003676055.1
SAMN10751907,GCA_003676055.1
SAMN10751906,GCA_003676055.1
SAMN10751909,GCA_003676055.1
SAMN10751908,GCA_003676055.1
SAMN10751911,GCA_003676055.1
SAMN10751910,GCA_003676055.1
SAMN10751913,GCA_003676055.1
SAMN10751912,GCA_003676055.1
SAMN10751915,GCA_003676055.1
SAMN10751914,GCA_003676055.1
SAMN10751925,GCA_003676055.1
SAMN10751924,GCA_003676055.1
SAMN10751919,GCA_003676055.1
SAMN10751918,GCA_003676055.1
SAMN10751917,GCA_003676055.1
SAMN10751916,GCA_003676055.1
SAMN10751923,GCA_003676055.1
SAMN10751922,GCA_003676055.1
SAMN10751921,GCA_003676055.1
SAMN10751920,GCA_003676055.1
