BioSample,refGenome
SAMEA4032484,GCA_900302625.1
SAMEA4032485,GCA_900302625.1
SAMEA4032487,GCA_900302625.1
SAMEA4032488,GCA_900302625.1
SAMEA4032490,GCA_900302625.1
SAMEA4032491,GCA_900302625.1
SAMEA4032492,GCA_900302625.1
SAMEA4032493,GCA_900302625.1
SAMEA4032494,GCA_900302625.1
SAMEA4032495,GCA_900302625.1
SAMEA4032496,GCA_900302625.1
SAMEA4032497,GCA_900302625.1
SAMEA4032498,GCA_900302625.1
SAMEA4032499,GCA_900302625.1
SAMEA4032500,GCA_900302625.1
SAMEA4032501,GCA_900302625.1
SAMEA4032502,GCA_900302625.1
SAMEA4032503,GCA_900302625.1
SAMEA4032504,GCA_900302625.1
SAMEA4032505,GCA_900302625.1
SAMEA4032506,GCA_900302625.1
SAMEA4032507,GCA_900302625.1
SAMEA4032508,GCA_900302625.1
SAMEA4032509,GCA_900302625.1
SAMEA4032510,GCA_900302625.1
SAMEA4032511,GCA_900302625.1
SAMEA4032512,GCA_900302625.1
SAMEA4032513,GCA_900302625.1
SAMEA4032514,GCA_900302625.1
SAMEA4032515,GCA_900302625.1
SAMEA4032516,GCA_900302625.1
SAMEA4032517,GCA_900302625.1
SAMEA4032518,GCA_900302625.1
SAMEA4032519,GCA_900302625.1
SAMEA4032520,GCA_900302625.1
SAMEA4032521,GCA_900302625.1
SAMEA4032522,GCA_900302625.1
SAMEA4032523,GCA_900302625.1
SAMEA4032524,GCA_900302625.1
SAMEA4032525,GCA_900302625.1
SAMEA4032489,GCA_900302625.1
SAMEA4032486,GCA_900302625.1
