BioSample,refGenome
SAMEA6816033,GCA_013435755.1
SAMEA6816034,GCA_013435755.1
SAMEA6816036,GCA_013435755.1
SAMEA6816038,GCA_013435755.1
SAMEA6816039,GCA_013435755.1
SAMEA6816040,GCA_013435755.1
SAMEA6816041,GCA_013435755.1
SAMEA6816042,GCA_013435755.1
SAMEA6816043,GCA_013435755.1
SAMEA6816044,GCA_013435755.1
SAMEA6816045,GCA_013435755.1
SAMEA6816046,GCA_013435755.1
SAMEA6816048,GCA_013435755.1
SAMEA6816049,GCA_013435755.1
SAMEA6816050,GCA_013435755.1
SAMEA6816051,GCA_013435755.1
SAMEA6816052,GCA_013435755.1
SAMEA6816053,GCA_013435755.1
SAMEA6816054,GCA_013435755.1
SAMEA6816055,GCA_013435755.1
SAMEA6816085,GCA_013435755.1
SAMEA6816090,GCA_013435755.1
SAMEA6816092,GCA_013435755.1
SAMEA6816093,GCA_013435755.1
SAMEA6816105,GCA_013435755.1
SAMEA6816106,GCA_013435755.1
SAMEA6816047,GCA_013435755.1
