BioSample,refGenome
SAMEA4799785,GCA_900610375.1
SAMEA4799787,GCA_900610375.1
SAMEA4799788,GCA_900610375.1
SAMEA4799781,GCA_900610375.1
SAMEA4799790,GCA_900610375.1
SAMEA4799783,GCA_900610375.1
SAMEA4799782,GCA_900610375.1
SAMEA4799791,GCA_900610375.1
SAMEA4799784,GCA_900610375.1
SAMEA4799789,GCA_900610375.1
SAMEA4799786,GCA_900610375.1
SAMEA4799780,GCA_900610375.1
SAMEA4799779,GCA_900610375.1
SAMEA4799756,GCA_900610375.1
SAMEA4799757,GCA_900610375.1
SAMEA4799758,GCA_900610375.1
SAMEA4799759,GCA_900610375.1
SAMEA4799761,GCA_900610375.1
SAMEA4799762,GCA_900610375.1
SAMEA4799763,GCA_900610375.1
SAMEA4799764,GCA_900610375.1
SAMEA4799765,GCA_900610375.1
SAMEA4799766,GCA_900610375.1
SAMEA4799768,GCA_900610375.1
SAMEA4799770,GCA_900610375.1
SAMEA4799771,GCA_900610375.1
SAMEA4799772,GCA_900610375.1
SAMEA4799774,GCA_900610375.1
SAMEA4799776,GCA_900610375.1
SAMEA4799777,GCA_900610375.1
SAMEA4799778,GCA_900610375.1
SAMEA4799767,GCA_900610375.1
SAMEA4799760,GCA_900610375.1
SAMEA4799769,GCA_900610375.1
SAMEA4799775,GCA_900610375.1
SAMEA4799773,GCA_900610375.1
