BioSample,refGenome
SAMN08465492,GCA_003259725.1
SAMN08465487,GCA_003259725.1
SAMN08465489,GCA_003259725.1
SAMN08465483,GCA_003259725.1
SAMN08465485,GCA_003259725.1
SAMN08465551,GCA_003259725.1
SAMN08465501,GCA_003259725.1
SAMN08465499,GCA_003259725.1
SAMN08465500,GCA_003259725.1
SAMN08465497,GCA_003259725.1
SAMN08465495,GCA_003259725.1
SAMN08465493,GCA_003259725.1
SAMN08465494,GCA_003259725.1
SAMN08465506,GCA_003259725.1
SAMN08465504,GCA_003259725.1
SAMN08465503,GCA_003259725.1
SAMN08465510,GCA_003259725.1
SAMN08465508,GCA_003259725.1
SAMN08465517,GCA_003259725.1
SAMN08465518,GCA_003259725.1
SAMN08465519,GCA_003259725.1
SAMN08465513,GCA_003259725.1
SAMN08465526,GCA_003259725.1
SAMN08465527,GCA_003259725.1
SAMN08465530,GCA_003259725.1
SAMN08465582,GCA_003259725.1
SAMN08465574,GCA_003259725.1
SAMN08465576,GCA_003259725.1
SAMN08465578,GCA_003259725.1
SAMN08465580,GCA_003259725.1
SAMN08465533,GCA_003259725.1
SAMN08465539,GCA_003259725.1
SAMN08465537,GCA_003259725.1
SAMN08465542,GCA_003259725.1
SAMN08465569,GCA_003259725.1
SAMN08465565,GCA_003259725.1
SAMN08465563,GCA_003259725.1
SAMN08465572,GCA_003259725.1
SAMN08465571,GCA_003259725.1
SAMN08465595,GCA_003259725.1
SAMN08465593,GCA_003259725.1
SAMN08465599,GCA_003259725.1
SAMN08465598,GCA_003259725.1
SAMN08465549,GCA_003259725.1
SAMN08465547,GCA_003259725.1
SAMN08465545,GCA_003259725.1
SAMN08465543,GCA_003259725.1
SAMN08465467,GCA_003259725.1
SAMN08465469,GCA_003259725.1
SAMN08465463,GCA_003259725.1
SAMN08465465,GCA_003259725.1
SAMN08465471,GCA_003259725.1
SAMN08465553,GCA_003259725.1
SAMN08465473,GCA_003259725.1
SAMN08465474,GCA_003259725.1
SAMN08465476,GCA_003259725.1
SAMN08465477,GCA_003259725.1
SAMN08465479,GCA_003259725.1
SAMN08465481,GCA_003259725.1
SAMN08465584,GCA_003259725.1
SAMN08465583,GCA_003259725.1
SAMN08465585,GCA_003259725.1
SAMN08465587,GCA_003259725.1
SAMN08465589,GCA_003259725.1
SAMN08465591,GCA_003259725.1
SAMN08465555,GCA_003259725.1
SAMN08465556,GCA_003259725.1
SAMN08465558,GCA_003259725.1
SAMN08465491,GCA_003259725.1
SAMN08465488,GCA_003259725.1
SAMN08465490,GCA_003259725.1
SAMN08465484,GCA_003259725.1
SAMN08465552,GCA_003259725.1
SAMN08465502,GCA_003259725.1
SAMN08465498,GCA_003259725.1
SAMN08465496,GCA_003259725.1
SAMN08465512,GCA_003259725.1
SAMN08465511,GCA_003259725.1
SAMN08465505,GCA_003259725.1
SAMN08465509,GCA_003259725.1
SAMN08465507,GCA_003259725.1
SAMN08465520,GCA_003259725.1
SAMN08465514,GCA_003259725.1
SAMN08465515,GCA_003259725.1
SAMN08465521,GCA_003259725.1
SAMN08465523,GCA_003259725.1
SAMN08465525,GCA_003259725.1
SAMN08465529,GCA_003259725.1
SAMN08465532,GCA_003259725.1
SAMN08465531,GCA_003259725.1
SAMN08465581,GCA_003259725.1
SAMN08465573,GCA_003259725.1
SAMN08465575,GCA_003259725.1
SAMN08465577,GCA_003259725.1
SAMN08465579,GCA_003259725.1
SAMN08465535,GCA_003259725.1
SAMN08465536,GCA_003259725.1
SAMN08465534,GCA_003259725.1
SAMN08465540,GCA_003259725.1
SAMN08465541,GCA_003259725.1
SAMN08465570,GCA_003259725.1
SAMN08465568,GCA_003259725.1
SAMN08465566,GCA_003259725.1
SAMN08465564,GCA_003259725.1
SAMN08465562,GCA_003259725.1
SAMN08465596,GCA_003259725.1
SAMN08465594,GCA_003259725.1
SAMN08465597,GCA_003259725.1
SAMN08465550,GCA_003259725.1
SAMN08465548,GCA_003259725.1
SAMN08465546,GCA_003259725.1
SAMN08465544,GCA_003259725.1
SAMN08465470,GCA_003259725.1
SAMN08465464,GCA_003259725.1
SAMN08465466,GCA_003259725.1
SAMN08465472,GCA_003259725.1
SAMN08465554,GCA_003259725.1
SAMN08465475,GCA_003259725.1
SAMN08465480,GCA_003259725.1
SAMN08465482,GCA_003259725.1
SAMN08465586,GCA_003259725.1
SAMN08465588,GCA_003259725.1
SAMN08465590,GCA_003259725.1
SAMN08465592,GCA_003259725.1
SAMN08465557,GCA_003259725.1
SAMN08465559,GCA_003259725.1
SAMN08465560,GCA_003259725.1
SAMN08465478,GCA_003259725.1
SAMN08465522,GCA_003259725.1
SAMN08465486,GCA_003259725.1
SAMN08465538,GCA_003259725.1
SAMN08465567,GCA_003259725.1
SAMN08465561,GCA_003259725.1
SAMN08465528,GCA_003259725.1
SAMN08465516,GCA_003259725.1
SAMN08465524,GCA_003259725.1
SAMN08465468,GCA_003259725.1
