BioSample,lat,long,refGenome
SAMEA4785058,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785059,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785060,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785062,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785063,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785064,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785065,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785066,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785067,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785068,15.135416984558105,-23.545804977416992,GCA_001700915.1
SAMEA4785069,15.135416984558105,-23.545804977416992,GCA_001700915.1
SAMEA4785090,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMEA4785092,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785103,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785104,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785105,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785106,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785107,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785108,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785109,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785110,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785131,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785132,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785133,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785134,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785135,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785136,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785139,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785061,28.03499984741211,-16.557777404785156,GCA_001700915.1
SAMEA4785140,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785091,42.6209716796875,70.57191467285156,GCA_001700915.1
SAMEA4785137,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMEA4785138,40.39339065551758,9.625694274902344,GCA_001700915.1
SAMN06619711,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619710,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619709,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619708,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619707,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619706,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619704,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619703,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619702,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMN06619705,41.85856628417969,15.450833320617676,GCA_001700915.1
