BioSample,lat,long,refGenome
SAMD00013064,NA,NA,GCA_000180675.1
SAMD00013068,NA,NA,GCA_000180675.1
SAMD00013057,NA,NA,GCA_000180675.1
SAMD00013056,NA,NA,GCA_000180675.1
SAMD00056765,NA,NA,GCA_000180675.1
SAMD00056767,NA,NA,GCA_000180675.1
SAMD00056772,NA,NA,GCA_000180675.1
SAMD00056774,NA,NA,GCA_000180675.1
SAMD00056779,NA,NA,GCA_000180675.1
SAMD00056780,NA,NA,GCA_000180675.1
SAMD00056784,NA,NA,GCA_000180675.1
SAMD00056786,NA,NA,GCA_000180675.1
SAMD00056794,NA,NA,GCA_000180675.1
SAMD00056795,NA,NA,GCA_000180675.1
SAMD00056797,NA,NA,GCA_000180675.1
SAMD00056766,NA,NA,GCA_000180675.1
SAMD00056770,NA,NA,GCA_000180675.1
SAMD00056773,NA,NA,GCA_000180675.1
SAMD00056775,NA,NA,GCA_000180675.1
SAMD00056777,NA,NA,GCA_000180675.1
SAMD00056778,NA,NA,GCA_000180675.1
SAMD00056781,NA,NA,GCA_000180675.1
SAMD00056783,NA,NA,GCA_000180675.1
SAMD00056785,NA,NA,GCA_000180675.1
SAMD00056790,NA,NA,GCA_000180675.1
SAMD00056791,NA,NA,GCA_000180675.1
SAMD00056793,NA,NA,GCA_000180675.1
SAMD00056796,NA,NA,GCA_000180675.1
SAMD00056801,NA,NA,GCA_000180675.1
SAMD00056802,NA,NA,GCA_000180675.1
SAMD00056803,NA,NA,GCA_000180675.1
SAMD00056776,NA,NA,GCA_000180675.1
SAMD00056782,NA,NA,GCA_000180675.1
SAMD00056764,NA,NA,GCA_000180675.1
SAMD00056769,NA,NA,GCA_000180675.1
SAMD00056798,NA,NA,GCA_000180675.1
SAMD00056799,NA,NA,GCA_000180675.1
SAMD00056787,NA,NA,GCA_000180675.1
SAMD00056768,NA,NA,GCA_000180675.1
SAMD00056800,NA,NA,GCA_000180675.1
SAMD00056792,NA,NA,GCA_000180675.1
SAMD00056789,NA,NA,GCA_000180675.1
SAMD00056788,NA,NA,GCA_000180675.1
SAMD00056771,NA,NA,GCA_000180675.1
SAMD00057639,NA,NA,GCA_000180675.1
SAMD00057640,NA,NA,GCA_000180675.1
SAMD00057642,NA,NA,GCA_000180675.1
SAMD00057643,NA,NA,GCA_000180675.1
SAMD00057645,NA,NA,GCA_000180675.1
SAMD00057641,NA,NA,GCA_000180675.1
SAMD00057644,NA,NA,GCA_000180675.1
SAMEA4385615,NA,343.11834716796875,GCA_000180675.1
SAMEA4385616,NA,343.11834716796875,GCA_000180675.1
SAMEA4385617,NA,343.11834716796875,GCA_000180675.1
SAMEA4385618,NA,NA,GCA_000180675.1
SAMEA4385620,NA,NA,GCA_000180675.1
SAMEA4385621,NA,NA,GCA_000180675.1
SAMEA4385622,NA,NA,GCA_000180675.1
SAMEA4385623,NA,NA,GCA_000180675.1
SAMEA4385624,NA,NA,GCA_000180675.1
SAMEA4385625,NA,NA,GCA_000180675.1
SAMEA4385626,NA,NA,GCA_000180675.1
SAMEA4385627,NA,40.12116622924805,GCA_000180675.1
SAMEA4385628,NA,40.12116622924805,GCA_000180675.1
SAMEA4385629,NA,40.12116622924805,GCA_000180675.1
SAMEA4385619,NA,NA,GCA_000180675.1
SAMEA2338557,NA,NA,GCA_000180675.1
SAMEA2338582,NA,NA,GCA_000180675.1
SAMEA2338545,NA,NA,GCA_000180675.1
SAMEA2338575,NA,NA,GCA_000180675.1
SAMEA2338595,NA,NA,GCA_000180675.1
SAMEA2338584,NA,NA,GCA_000180675.1
SAMEA2338541,NA,NA,GCA_000180675.1
SAMEA2338539,NA,NA,GCA_000180675.1
SAMEA2338587,NA,NA,GCA_000180675.1
SAMEA2338592,NA,NA,GCA_000180675.1
SAMEA2338560,NA,NA,GCA_000180675.1
SAMEA2338549,NA,NA,GCA_000180675.1
SAMEA2338581,NA,NA,GCA_000180675.1
SAMEA2338567,NA,NA,GCA_000180675.1
SAMEA1523621,54.20418930053711,10.561638832092285,GCA_000180675.1
SAMEA1523618,54.20418930053711,10.561638832092285,GCA_000180675.1
SAMEA1523619,54.20418930053711,10.561638832092285,GCA_000180675.1
SAMEA1523623,54.20418930053711,10.561638832092285,GCA_000180675.1
SAMEA2338598,NA,NA,GCA_000180675.1
SAMEA1523620,54.20418930053711,10.561638832092285,GCA_000180675.1
SAMEA2338569,NA,NA,GCA_000180675.1
SAMEA2338546,NA,NA,GCA_000180675.1
SAMEA2338559,NA,NA,GCA_000180675.1
SAMEA2338594,NA,NA,GCA_000180675.1
SAMEA2338552,NA,NA,GCA_000180675.1
SAMEA2338579,NA,NA,GCA_000180675.1
SAMEA2338593,NA,NA,GCA_000180675.1
SAMEA2338580,NA,NA,GCA_000180675.1
SAMEA2338565,NA,NA,GCA_000180675.1
SAMEA1523622,54.20418930053711,10.561638832092285,GCA_000180675.1
SAMEA2338570,NA,NA,GCA_000180675.1
SAMEA2338583,NA,NA,GCA_000180675.1
SAMEA2338566,NA,NA,GCA_000180675.1
SAMEA2338597,NA,NA,GCA_000180675.1
SAMEA2338550,NA,NA,GCA_000180675.1
SAMEA2338578,NA,NA,GCA_000180675.1
SAMEA2338562,NA,NA,GCA_000180675.1
SAMEA2338577,NA,NA,GCA_000180675.1
SAMEA2338544,NA,NA,GCA_000180675.1
SAMEA2338574,NA,NA,GCA_000180675.1
SAMEA2338591,NA,NA,GCA_000180675.1
SAMEA2338563,NA,NA,GCA_000180675.1
SAMEA2338558,NA,NA,GCA_000180675.1
SAMEA2338554,NA,NA,GCA_000180675.1
SAMEA2338540,NA,NA,GCA_000180675.1
SAMEA2338585,NA,NA,GCA_000180675.1
SAMEA2338571,NA,NA,GCA_000180675.1
SAMEA2338573,NA,NA,GCA_000180675.1
SAMEA2338586,NA,NA,GCA_000180675.1
SAMEA2338556,NA,NA,GCA_000180675.1
SAMEA2338547,NA,NA,GCA_000180675.1
SAMEA2338564,NA,NA,GCA_000180675.1
SAMEA2338548,NA,NA,GCA_000180675.1
SAMEA2338589,NA,NA,GCA_000180675.1
SAMEA2338553,NA,NA,GCA_000180675.1
SAMEA2338576,NA,NA,GCA_000180675.1
SAMEA2338572,NA,NA,GCA_000180675.1
SAMEA2338561,NA,NA,GCA_000180675.1
SAMEA2338588,NA,NA,GCA_000180675.1
SAMEA2338543,NA,NA,GCA_000180675.1
SAMEA2338551,NA,NA,GCA_000180675.1
SAMEA2338555,NA,NA,GCA_000180675.1
SAMEA2338568,NA,NA,GCA_000180675.1
SAMEA2338596,NA,NA,GCA_000180675.1
SAMEA2338542,NA,NA,GCA_000180675.1
SAMEA2338590,NA,NA,GCA_000180675.1
SAMN06323936,NA,NA,GCA_000180675.1
SAMN06323935,NA,NA,GCA_000180675.1
SAMN06323934,NA,NA,GCA_000180675.1
SAMN06323933,NA,NA,GCA_000180675.1
SAMN06323932,NA,NA,GCA_000180675.1
SAMN06323931,NA,NA,GCA_000180675.1
SAMN06323930,NA,NA,GCA_000180675.1
SAMN06323929,NA,NA,GCA_000180675.1
SAMN06323928,NA,NA,GCA_000180675.1
SAMN06323927,NA,NA,GCA_000180675.1
SAMN06323925,NA,NA,GCA_000180675.1
SAMN06323923,NA,NA,GCA_000180675.1
SAMN06323922,NA,NA,GCA_000180675.1
SAMN06323921,NA,NA,GCA_000180675.1
SAMN06323920,NA,NA,GCA_000180675.1
SAMN06323918,NA,NA,GCA_000180675.1
SAMN06323917,NA,NA,GCA_000180675.1
SAMN06323916,NA,NA,GCA_000180675.1
SAMN06323915,NA,NA,GCA_000180675.1
SAMN06323914,NA,NA,GCA_000180675.1
SAMN06323913,NA,NA,GCA_000180675.1
SAMN06323912,NA,NA,GCA_000180675.1
SAMN06323911,NA,NA,GCA_000180675.1
SAMN06323909,NA,NA,GCA_000180675.1
SAMN06323907,NA,NA,GCA_000180675.1
SAMN06323905,NA,NA,GCA_000180675.1
SAMN06323904,NA,NA,GCA_000180675.1
SAMN06323902,NA,NA,GCA_000180675.1
SAMN06323901,NA,NA,GCA_000180675.1
SAMN06323900,NA,NA,GCA_000180675.1
SAMN06323899,NA,NA,GCA_000180675.1
SAMN06323898,NA,NA,GCA_000180675.1
SAMN06323897,NA,NA,GCA_000180675.1
SAMN06323896,NA,NA,GCA_000180675.1
SAMN06323895,NA,NA,GCA_000180675.1
SAMN06323894,NA,NA,GCA_000180675.1
SAMN06323893,NA,NA,GCA_000180675.1
SAMN06323891,NA,NA,GCA_000180675.1
SAMN06323890,NA,NA,GCA_000180675.1
SAMN06323889,NA,NA,GCA_000180675.1
SAMN06323888,NA,NA,GCA_000180675.1
SAMN06323887,NA,NA,GCA_000180675.1
SAMN06323886,NA,NA,GCA_000180675.1
SAMN06323884,NA,NA,GCA_000180675.1
SAMN06323883,NA,NA,GCA_000180675.1
SAMN06323882,NA,NA,GCA_000180675.1
SAMN06323881,NA,NA,GCA_000180675.1
SAMN06323880,NA,NA,GCA_000180675.1
SAMN06323879,NA,NA,GCA_000180675.1
SAMN06323910,NA,NA,GCA_000180675.1
SAMN06323924,NA,NA,GCA_000180675.1
SAMN06323903,NA,NA,GCA_000180675.1
SAMN06323919,NA,NA,GCA_000180675.1
SAMN06323908,NA,NA,GCA_000180675.1
SAMN06323892,NA,NA,GCA_000180675.1
SAMN06323906,NA,NA,GCA_000180675.1
SAMN06323926,NA,NA,GCA_000180675.1
SAMN06323885,NA,NA,GCA_000180675.1
SAMN07162959,NA,NA,GCA_000180675.1
SAMN07162958,NA,NA,GCA_000180675.1
SAMN07162962,NA,NA,GCA_000180675.1
SAMN07162961,NA,NA,GCA_000180675.1
SAMN07162963,NA,NA,GCA_000180675.1
SAMN07162968,NA,NA,GCA_000180675.1
SAMN07162970,NA,NA,GCA_000180675.1
SAMN07162971,NA,NA,GCA_000180675.1
SAMN07162972,NA,NA,GCA_000180675.1
SAMN07162967,NA,NA,GCA_000180675.1
SAMN07162969,NA,NA,GCA_000180675.1
SAMN07162957,NA,NA,GCA_000180675.1
SAMN07162955,NA,NA,GCA_000180675.1
SAMN07162954,NA,NA,GCA_000180675.1
SAMN07162953,NA,NA,GCA_000180675.1
SAMN07162952,NA,NA,GCA_000180675.1
SAMN07162951,NA,NA,GCA_000180675.1
SAMN07162950,NA,NA,GCA_000180675.1
SAMN07162956,NA,NA,GCA_000180675.1
SAMN07162966,NA,NA,GCA_000180675.1
SAMN07162965,NA,NA,GCA_000180675.1
SAMN07162964,NA,NA,GCA_000180675.1
SAMN07162960,NA,NA,GCA_000180675.1
SAMN09813050,NA,NA,GCA_000180675.1
SAMN09813052,NA,NA,GCA_000180675.1
SAMN09813053,NA,NA,GCA_000180675.1
SAMN09813056,NA,NA,GCA_000180675.1
SAMN09813058,NA,NA,GCA_000180675.1
SAMN09813057,NA,NA,GCA_000180675.1
SAMN09813068,NA,NA,GCA_000180675.1
SAMN09813062,NA,NA,GCA_000180675.1
SAMN09813061,NA,NA,GCA_000180675.1
SAMN09813060,NA,NA,GCA_000180675.1
SAMN09813059,NA,NA,GCA_000180675.1
SAMN09813066,NA,NA,GCA_000180675.1
SAMN09813065,NA,NA,GCA_000180675.1
SAMN09813064,NA,NA,GCA_000180675.1
SAMN09813063,NA,NA,GCA_000180675.1
SAMN09813072,NA,NA,GCA_000180675.1
SAMN09813069,NA,NA,GCA_000180675.1
SAMN09813070,NA,NA,GCA_000180675.1
SAMN09813075,NA,NA,GCA_000180675.1
SAMN09813076,NA,NA,GCA_000180675.1
SAMN09813073,NA,NA,GCA_000180675.1
SAMN09813074,NA,NA,GCA_000180675.1
SAMN09813077,NA,NA,GCA_000180675.1
SAMN09813055,NA,NA,GCA_000180675.1
SAMN09813078,NA,NA,GCA_000180675.1
SAMN09813054,NA,NA,GCA_000180675.1
SAMN09813051,NA,NA,GCA_000180675.1
SAMN09813067,NA,NA,GCA_000180675.1
SAMN09813071,NA,NA,GCA_000180675.1
SAMN09813049,NA,NA,GCA_000180675.1
SAMN11322346,NA,NA,GCA_000180675.1
SAMN11322345,NA,NA,GCA_000180675.1
SAMN11322329,NA,NA,GCA_000180675.1
SAMN11322328,NA,NA,GCA_000180675.1
SAMN11322327,NA,NA,GCA_000180675.1
SAMN11322348,NA,NA,GCA_000180675.1
SAMN11322347,NA,NA,GCA_000180675.1
SAMN11322344,NA,NA,GCA_000180675.1
SAMN11322343,NA,NA,GCA_000180675.1
SAMN11322342,NA,NA,GCA_000180675.1
SAMN11322341,NA,NA,GCA_000180675.1
SAMN11322339,NA,NA,GCA_000180675.1
SAMN11322340,NA,NA,GCA_000180675.1
SAMN11322331,NA,NA,GCA_000180675.1
SAMN11322332,NA,NA,GCA_000180675.1
SAMN11322334,NA,NA,GCA_000180675.1
SAMN11322335,NA,NA,GCA_000180675.1
SAMN11322336,NA,NA,GCA_000180675.1
SAMN11322337,NA,NA,GCA_000180675.1
SAMN11322338,NA,NA,GCA_000180675.1
SAMN11322349,NA,NA,GCA_000180675.1
SAMN11322333,NA,NA,GCA_000180675.1
SAMN11322330,NA,NA,GCA_000180675.1
SAMN17377791,NA,NA,GCA_000180675.1
SAMN17377789,NA,NA,GCA_000180675.1
SAMN17377788,NA,NA,GCA_000180675.1
SAMN17377787,NA,NA,GCA_000180675.1
SAMN17377785,NA,NA,GCA_000180675.1
SAMN17377782,NA,NA,GCA_000180675.1
SAMN17377679,NA,NA,GCA_000180675.1
SAMN17377898,NA,NA,GCA_000180675.1
SAMN17377889,NA,NA,GCA_000180675.1
SAMN17377888,NA,NA,GCA_000180675.1
SAMN17377887,NA,NA,GCA_000180675.1
SAMN17377886,NA,NA,GCA_000180675.1
SAMN17377807,NA,NA,GCA_000180675.1
SAMN17377806,NA,NA,GCA_000180675.1
SAMN17377805,NA,NA,GCA_000180675.1
SAMN17377676,NA,NA,GCA_000180675.1
SAMN17377800,NA,NA,GCA_000180675.1
SAMN17377798,NA,NA,GCA_000180675.1
SAMN17377797,NA,NA,GCA_000180675.1
SAMN17377796,NA,NA,GCA_000180675.1
SAMN17377795,NA,NA,GCA_000180675.1
SAMN17377793,NA,NA,GCA_000180675.1
SAMN17377794,NA,NA,GCA_000180675.1
SAMN17377792,NA,NA,GCA_000180675.1
SAMN17377790,NA,NA,GCA_000180675.1
SAMN17375686,NA,NA,GCA_000180675.1
SAMN17377678,NA,NA,GCA_000180675.1
SAMN17377651,NA,NA,GCA_000180675.1
SAMN17377799,NA,NA,GCA_000180675.1
SAMN17377804,NA,NA,GCA_000180675.1
