BioSample,refGenome
SAMN06046576,GCA_002819105.1
SAMN06046549,GCA_002819105.1
SAMN06046550,GCA_002819105.1
SAMN06046604,GCA_002819105.1
SAMN06046574,GCA_002819105.1
SAMN06046559,GCA_002819105.1
SAMN06046590,GCA_002819105.1
SAMN06046585,GCA_002819105.1
SAMN06046557,GCA_002819105.1
SAMN06046566,GCA_002819105.1
SAMN06046560,GCA_002819105.1
SAMN06046548,GCA_002819105.1
SAMN06046582,GCA_002819105.1
SAMN06046602,GCA_002819105.1
SAMN06046571,GCA_002819105.1
SAMN06046554,GCA_002819105.1
SAMN06046565,GCA_002819105.1
SAMN06046600,GCA_002819105.1
SAMN06046586,GCA_002819105.1
SAMN06046584,GCA_002819105.1
SAMN06046561,GCA_002819105.1
SAMN06046603,GCA_002819105.1
SAMN06046568,GCA_002819105.1
SAMN06046597,GCA_002819105.1
SAMN06046589,GCA_002819105.1
SAMN06046573,GCA_002819105.1
SAMN06046601,GCA_002819105.1
SAMN06046553,GCA_002819105.1
SAMN06046592,GCA_002819105.1
SAMN06046551,GCA_002819105.1
SAMN06046587,GCA_002819105.1
SAMN06046569,GCA_002819105.1
SAMN06046547,GCA_002819105.1
SAMN06046555,GCA_002819105.1
SAMN06046593,GCA_002819105.1
SAMN06046598,GCA_002819105.1
SAMN06046599,GCA_002819105.1
SAMN06046583,GCA_002819105.1
SAMN06046591,GCA_002819105.1
SAMN06046572,GCA_002819105.1
SAMN06046575,GCA_002819105.1
SAMN06046595,GCA_002819105.1
SAMN06046570,GCA_002819105.1
SAMN06046563,GCA_002819105.1
SAMN06046588,GCA_002819105.1
SAMN06046546,GCA_002819105.1
SAMN06046544,GCA_002819105.1
SAMN06046564,GCA_002819105.1
SAMN06046552,GCA_002819105.1
SAMN06046558,GCA_002819105.1
SAMN06046542,GCA_002819105.1
SAMN06046578,GCA_002819105.1
SAMN06046580,GCA_002819105.1
SAMN06046567,GCA_002819105.1
SAMN06046540,GCA_002819105.1
SAMN06046545,GCA_002819105.1
SAMN06046556,GCA_002819105.1
SAMN06046541,GCA_002819105.1
SAMN06046579,GCA_002819105.1
SAMN06046543,GCA_002819105.1
SAMN06046577,GCA_002819105.1
SAMN06046581,GCA_002819105.1
SAMN06046596,GCA_002819105.1
SAMN06046594,GCA_002819105.1
SAMN06046562,GCA_002819105.1
