BioSample,refGenome
SAMEA6816021,GCA_013435755.1
SAMEA6816012,GCA_013435755.1
SAMEA6816013,GCA_013435755.1
SAMEA6816014,GCA_013435755.1
SAMEA6816015,GCA_013435755.1
SAMEA6816016,GCA_013435755.1
SAMEA6816017,GCA_013435755.1
SAMEA6816018,GCA_013435755.1
SAMEA6816019,GCA_013435755.1
SAMEA6816020,GCA_013435755.1
SAMEA6816022,GCA_013435755.1
SAMEA6816023,GCA_013435755.1
SAMEA6816024,GCA_013435755.1
SAMEA6816025,GCA_013435755.1
SAMEA6816026,GCA_013435755.1
SAMEA6816028,GCA_013435755.1
SAMEA6816029,GCA_013435755.1
SAMEA6816030,GCA_013435755.1
SAMEA6816031,GCA_013435755.1
SAMEA6816032,GCA_013435755.1
SAMEA6816027,GCA_013435755.1
