BioSample,refGenome
SAMEA1317600,GCF_002234675.1
SAMEA1317593,GCF_002234675.1
SAMEA1317608,GCF_002234675.1
SAMEA1317601,GCF_002234675.1
SAMEA1317615,GCF_002234675.1
SAMEA1317610,GCF_002234675.1
SAMEA1317612,GCF_002234675.1
SAMEA1317616,GCF_002234675.1
SAMEA1317599,GCF_002234675.1
SAMEA1317598,GCF_002234675.1
SAMEA1317596,GCF_002234675.1
SAMEA1317594,GCF_002234675.1
SAMEA1317603,GCF_002234675.1
SAMEA1317605,GCF_002234675.1
SAMEA1317614,GCF_002234675.1
SAMEA1317604,GCF_002234675.1
