BioSample,refGenome
SAMEA6815880,GCA_013435755.1
SAMEA6815881,GCA_013435755.1
SAMEA6815882,GCA_013435755.1
SAMEA6815883,GCA_013435755.1
SAMEA6815884,GCA_013435755.1
SAMEA6815885,GCA_013435755.1
SAMEA6815886,GCA_013435755.1
SAMEA6815887,GCA_013435755.1
SAMEA6815888,GCA_013435755.1
SAMEA6815889,GCA_013435755.1
SAMEA6815890,GCA_013435755.1
SAMEA6815891,GCA_013435755.1
SAMEA6815892,GCA_013435755.1
SAMEA6815893,GCA_013435755.1
SAMEA6815894,GCA_013435755.1
SAMEA6815895,GCA_013435755.1
SAMEA6815896,GCA_013435755.1
SAMEA6815897,GCA_013435755.1
SAMEA6815898,GCA_013435755.1
SAMEA6815899,GCA_013435755.1
SAMEA6815900,GCA_013435755.1
SAMEA6815901,GCA_013435755.1
SAMEA6815902,GCA_013435755.1
SAMEA6815968,GCA_013435755.1
SAMEA6815970,GCA_013435755.1
SAMEA6815971,GCA_013435755.1
SAMEA6815972,GCA_013435755.1
SAMEA6815973,GCA_013435755.1
SAMEA6815974,GCA_013435755.1
SAMEA6815975,GCA_013435755.1
SAMEA6815976,GCA_013435755.1
SAMEA6815977,GCA_013435755.1
SAMEA6815978,GCA_013435755.1
SAMEA6815979,GCA_013435755.1
SAMEA6815980,GCA_013435755.1
SAMEA6815981,GCA_013435755.1
SAMEA6815983,GCA_013435755.1
SAMEA6815984,GCA_013435755.1
SAMEA6815985,GCA_013435755.1
SAMEA6815986,GCA_013435755.1
SAMEA6815987,GCA_013435755.1
SAMEA6815988,GCA_013435755.1
SAMEA6815989,GCA_013435755.1
SAMEA6815990,GCA_013435755.1
SAMEA6815991,GCA_013435755.1
SAMEA6815969,GCA_013435755.1
SAMEA6815879,GCA_013435755.1
SAMEA6815903,GCA_013435755.1
SAMEA6815982,GCA_013435755.1
