BioSample,refGenome
SAMN07637314,GCA_002372975.1
SAMN07637317,GCA_002372975.1
SAMN07637262,GCA_002372975.1
SAMN07637257,GCA_002372975.1
SAMN07637261,GCA_002372975.1
SAMN07637271,GCA_002372975.1
SAMN07637266,GCA_002372975.1
SAMN07637267,GCA_002372975.1
SAMN07637307,GCA_002372975.1
SAMN07637285,GCA_002372975.1
SAMN07637316,GCA_002372975.1
SAMN07637313,GCA_002372975.1
SAMN07637269,GCA_002372975.1
SAMN07637268,GCA_002372975.1
SAMN07637295,GCA_002372975.1
SAMN07637265,GCA_002372975.1
SAMN07637263,GCA_002372975.1
SAMN07637264,GCA_002372975.1
SAMN07637282,GCA_002372975.1
SAMN07637276,GCA_002372975.1
SAMN07637290,GCA_002372975.1
SAMN07637291,GCA_002372975.1
SAMN07637281,GCA_002372975.1
SAMN07637278,GCA_002372975.1
SAMN07637280,GCA_002372975.1
SAMN07637315,GCA_002372975.1
SAMN07637318,GCA_002372975.1
SAMN07637306,GCA_002372975.1
SAMN07637279,GCA_002372975.1
SAMN07637270,GCA_002372975.1
SAMN07637312,GCA_002372975.1
SAMN07637294,GCA_002372975.1
SAMN07637277,GCA_002372975.1
