BioSample,refGenome
SAMEA2785380,GCF_000247815.1
SAMEA2785381,GCF_000247815.1
SAMEA2785382,GCF_000247815.1
SAMEA2785383,GCF_000247815.1
SAMEA2785384,GCF_000247815.1
SAMEA2785385,GCF_000247815.1
SAMEA2785386,GCF_000247815.1
SAMEA2785387,GCF_000247815.1
SAMEA2785388,GCF_000247815.1
SAMEA2785389,GCF_000247815.1
SAMEA2785390,GCF_000247815.1
SAMEA2785391,GCF_000247815.1
SAMEA2785392,GCF_000247815.1
SAMEA2785393,GCF_000247815.1
SAMEA2785394,GCF_000247815.1
SAMEA2785395,GCF_000247815.1
SAMEA2785396,GCF_000247815.1
SAMEA2785398,GCF_000247815.1
SAMEA2785558,GCF_000247815.1
SAMEA2785559,GCF_000247815.1
SAMEA2785560,GCF_000247815.1
SAMEA2785561,GCF_000247815.1
SAMEA2785562,GCF_000247815.1
SAMEA2785563,GCF_000247815.1
SAMEA2785564,GCF_000247815.1
SAMEA2785565,GCF_000247815.1
SAMEA2785567,GCF_000247815.1
SAMEA2785568,GCF_000247815.1
SAMEA2785569,GCF_000247815.1
SAMEA2785570,GCF_000247815.1
SAMEA2785571,GCF_000247815.1
SAMEA2785572,GCF_000247815.1
SAMEA2785574,GCF_000247815.1
SAMEA2785575,GCF_000247815.1
SAMEA2785576,GCF_000247815.1
SAMEA2785577,GCF_000247815.1
SAMEA3166387,GCF_000247815.1
SAMEA3166388,GCF_000247815.1
SAMEA3166389,GCF_000247815.1
SAMEA3166397,GCF_000247815.1
SAMEA3166390,GCF_000247815.1
SAMEA3166391,GCF_000247815.1
SAMEA3166392,GCF_000247815.1
SAMEA3166393,GCF_000247815.1
SAMEA3166394,GCF_000247815.1
SAMEA3166395,GCF_000247815.1
SAMEA3166398,GCF_000247815.1
SAMEA3166396,GCF_000247815.1
SAMEA3166399,GCF_000247815.1
SAMEA3166400,GCF_000247815.1
SAMEA3166401,GCF_000247815.1
SAMEA3166402,GCF_000247815.1
SAMEA3166403,GCF_000247815.1
SAMEA3166404,GCF_000247815.1
SAMEA3166405,GCF_000247815.1
SAMEA3166406,GCF_000247815.1
SAMEA3166413,GCF_000247815.1
SAMEA3166414,GCF_000247815.1
SAMEA3166417,GCF_000247815.1
SAMEA3166418,GCF_000247815.1
SAMEA3166419,GCF_000247815.1
SAMEA3166420,GCF_000247815.1
SAMEA3166421,GCF_000247815.1
SAMEA3166422,GCF_000247815.1
SAMEA3166423,GCF_000247815.1
SAMEA3166425,GCF_000247815.1
SAMEA3166426,GCF_000247815.1
SAMEA3166427,GCF_000247815.1
SAMEA3166428,GCF_000247815.1
SAMEA3166429,GCF_000247815.1
SAMEA3166430,GCF_000247815.1
SAMEA3166431,GCF_000247815.1
SAMEA3166432,GCF_000247815.1
SAMEA2785397,GCF_000247815.1
SAMEA3166415,GCF_000247815.1
SAMEA2785566,GCF_000247815.1
SAMEA3166416,GCF_000247815.1
SAMEA2785573,GCF_000247815.1
SAMEA3166424,GCF_000247815.1
SAMEA3868732,GCF_000247815.1
SAMEA3868733,GCF_000247815.1
SAMEA3868735,GCF_000247815.1
SAMEA3868736,GCF_000247815.1
SAMEA3638001,GCF_000247815.1
SAMEA3638017,GCF_000247815.1
SAMEA3637999,GCF_000247815.1
SAMEA3638002,GCF_000247815.1
SAMEA3638013,GCF_000247815.1
SAMEA3638012,GCF_000247815.1
SAMEA3638019,GCF_000247815.1
SAMEA3638011,GCF_000247815.1
SAMEA3638020,GCF_000247815.1
SAMEA3638000,GCF_000247815.1
SAMEA3638009,GCF_000247815.1
SAMEA3638008,GCF_000247815.1
SAMEA3638005,GCF_000247815.1
SAMEA3637987,GCF_000247815.1
SAMEA3637998,GCF_000247815.1
SAMEA3638021,GCF_000247815.1
SAMEA3637990,GCF_000247815.1
SAMEA3638016,GCF_000247815.1
SAMEA3637995,GCF_000247815.1
SAMEA3638014,GCF_000247815.1
SAMEA3638003,GCF_000247815.1
SAMEA3638018,GCF_000247815.1
SAMEA3638004,GCF_000247815.1
SAMEA3637993,GCF_000247815.1
SAMEA3637992,GCF_000247815.1
SAMEA3637997,GCF_000247815.1
SAMEA3637996,GCF_000247815.1
SAMEA3637988,GCF_000247815.1
SAMEA3637991,GCF_000247815.1
SAMEA3637994,GCF_000247815.1
SAMEA3638027,GCF_000247815.1
SAMEA3638040,GCF_000247815.1
SAMEA3638057,GCF_000247815.1
SAMEA3638023,GCF_000247815.1
SAMEA3638063,GCF_000247815.1
SAMEA3638048,GCF_000247815.1
SAMEA3638053,GCF_000247815.1
SAMEA3638059,GCF_000247815.1
SAMEA3638067,GCF_000247815.1
SAMEA3638024,GCF_000247815.1
SAMEA3638038,GCF_000247815.1
SAMEA3638031,GCF_000247815.1
SAMEA3638045,GCF_000247815.1
SAMEA3638025,GCF_000247815.1
SAMEA3638054,GCF_000247815.1
SAMEA3638041,GCF_000247815.1
SAMEA3638033,GCF_000247815.1
SAMEA3638039,GCF_000247815.1
SAMEA3638037,GCF_000247815.1
SAMEA3638058,GCF_000247815.1
SAMEA3638032,GCF_000247815.1
SAMEA3638034,GCF_000247815.1
SAMEA3638029,GCF_000247815.1
SAMEA3638062,GCF_000247815.1
SAMEA3638066,GCF_000247815.1
SAMEA3638035,GCF_000247815.1
SAMEA3638044,GCF_000247815.1
SAMEA3638051,GCF_000247815.1
SAMEA3638046,GCF_000247815.1
SAMEA3638055,GCF_000247815.1
SAMEA3638026,GCF_000247815.1
SAMEA3638060,GCF_000247815.1
SAMEA3638022,GCF_000247815.1
SAMEA3638061,GCF_000247815.1
SAMEA3638050,GCF_000247815.1
SAMEA3638043,GCF_000247815.1
SAMEA3638028,GCF_000247815.1
