BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	Individual
PRJNA353986	SRR5034737	WGS	200	24111060800	SAMN06036163	10247017602	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359332	Illumina HiSeq 4000	19	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J034_Aripo_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	19
PRJNA353986	SRR5034738	WGS	200	59624394800	SAMN06036148	26268903782	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359333	Illumina HiSeq 4000	4	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_08_lab	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	4
PRJNA353986	SRR5034739	WGS	200	20362969200	SAMN06036150	8612849039	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359334	Illumina HiSeq 4000	6	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J003_Aripo_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	6
PRJNA353986	SRR5034743	WGS	200	55340139600	SAMN06036145	24220841658	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359338	Illumina HiSeq 4000	1	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Female_04_lab	SRP093523	Model organism or animal	female	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	1
PRJNA353986	SRR5034745	WGS	200	47675570800	SAMN06036147	21029973071	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359340	Illumina HiSeq 4000	3	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_11_lab	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	3
PRJNA353986	SRR5034746	WGS	200	18976989600	SAMN06036167	8033422925	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359341	Illumina HiSeq 4000	23	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J043_Yarra_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	23
PRJNA353986	SRR5034748	WGS	200	27834548200	SAMN06036165	12014284379	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359343	Illumina HiSeq 4000	21	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J041_Yarra_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	21
PRJNA353986	SRR5034750	WGS	200	21479765200	SAMN06036171	9059979563	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359345	Illumina HiSeq 4000	27	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J053_Quare_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	27
PRJNA353986	SRR5034752	WGS	200	19716229000	SAMN06036169	8566817266	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359347	Illumina HiSeq 4000	25	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J051_Quare_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	25
PRJNA353986	SRR5034753	WGS	200	23407500600	SAMN06036158	9917166053	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359348	Illumina HiSeq 4000	14	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J017_Quare_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	14
PRJNA353986	SRR5034755	WGS	200	25397848000	SAMN06036153	11622613221	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359350	Illumina HiSeq 4000	9	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J012_Yarra_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	9
PRJNA353986	SRR5034757	WGS	200	21182125000	SAMN06036160	9131067154	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359352	Illumina HiSeq 4000	16	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J020_Quare_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	16
PRJNA353986	SRR5034758	WGS	200	26681097400	SAMN06036161	11898856443	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359353	Illumina HiSeq 4000	17	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J032_Aripo_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	17
PRJNA353986	SRR5034759	WGS	200	25823324200	SAMN06036159	11255655399	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359354	Illumina HiSeq 4000	15	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J019_Quare_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	15
PRJNA353986	SRR5034724	WGS	200	20789695000	SAMN06036155	8887402737	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359319	Illumina HiSeq 4000	11	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J014_Yarra_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	11
