BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Strain	Breed	Cultivar	run (run)	actual_read_length (run)	total_bases (run)
PRJNA339911	SRR5460179	WGS	180	25564467600	SAMN06756388	16920386659	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748194	Illumina HiSeq 2000	wHAIPI012745-36	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_male_2	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	7	not applicable	not applicable	not applicable	FCC5W5GACXX	91	4704430137680
PRJNA339911	SRR5460180	WGS	180	25659766080	SAMN06756393	16914687452	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748195	Illumina HiSeq 2000	wHAIPI012746-39	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_female_2	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	12	not applicable	not applicable	not applicable	FCC5W5GACXX	91	4721967175744
PRJNA339911	SRR5460181	WGS	180	23037289920	SAMN06756389	15282608087	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748196	Illumina HiSeq 2000	wHAIPI012747-41	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_male_3	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	8	not applicable	not applicable	not applicable	FCC5W5GACXX	91	4239373285056
PRJNA339911	SRR5460182	WGS	180	22827018600	SAMN06756394	15132823354	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748197	Illumina HiSeq 2000	wHAIPI012748-42	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_female_3	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	13	not applicable	not applicable	not applicable	FCC5W5GACXX	91	4200678689480
PRJNA339911	SRR5460183	WGS	180	21732741900	SAMN06756382	14721762146	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748198	Illumina HiSeq 2000	wHAIPI012733-19	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_female_1	SRP104331	Model organism or animal	female	blood	not applicable	missing	young	not applicable	1	not applicable	not applicable	not applicable	FCC360LACXX	91	3999307459420
PRJNA339911	SRR5460184	WGS	180	23107731120	SAMN06756397	15612477240	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748199	Illumina HiSeq 2000	wHAIPI012734-21	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_male_1	SRP104331	Model organism or animal	male	blood	not applicable	missing	young	not applicable	16	not applicable	not applicable	not applicable	FCC360LACXX	91	4252336031216
PRJNA339911	SRR5460185	WGS	180	21295172160	SAMN06756383	14349952290	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748200	Illumina HiSeq 2000	wHAIPI012735-24	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_female_2	SRP104331	Model organism or animal	female	blood	not applicable	missing	young	not applicable	2	not applicable	not applicable	not applicable	FCC360LACXX	91	3918784903488
PRJNA339911	SRR5460186	WGS	180	20031703740	SAMN06756398	13480659024	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748201	Illumina HiSeq 2000	wHAIPI012736-25	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_male_2	SRP104331	Model organism or animal	male	blood	not applicable	missing	young	not applicable	17	not applicable	not applicable	not applicable	FCC360LACXX	91	3686278637132
PRJNA339911	SRR5460187	WGS	180	4822521660	SAMN06756450	3169655053	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748202	Illumina HiSeq 2000	WHAIPI003140-46	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_male_3	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	69	not applicable	not applicable	not applicable	FCC3UKPACXX	91	887451152588
PRJNA339911	SRR5460188	WGS	180	6235303680	SAMN06756443	4111753946	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748203	Illumina HiSeq 2000	WHAIPI003137-42	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_meat_female_1	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	62	not applicable	not applicable	not applicable	FCC3R9UACXX	91	1147434439424
