BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	region)
PRJNA693136	SRR13517301	WGS	293	1084039764	SAMN17377676	464217789	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928406	Illumina HiSeq 4000	Klubbvatnet_3.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_3	SRP303045	Model organism or animal	female	fin clip	NA	adult	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	70.36 N 23.37 E	freshwater
PRJNA693136	SRR13517302	WGS	293	4697414871	SAMN17377800	2023730835	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928405	Illumina HiSeq 4000	Jossavannet_5.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Jossavannet_5	SRP303045	Model organism or animal	male	Fin clip	NA	Adult	freshwater	2019-06-28	Norway	Europe	Norway: Jossavannet Lake\, Finnmark	Andrew Foote\, NTNU	70.27 N 23.47 E	Freshwater
PRJNA693136	SRR13517303	WGS	294	871447223	SAMN17377798	375657956	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928404	Illumina HiSeq 4000	Jossavannet_4.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Jossavannet_4	SRP303045	Model organism or animal	male	Fin clip	NA	Adult	freshwater	2019-06-28	Norway	Europe	Norway: Jossavannet Lake\, Finnmark	Andrew Foote\, NTNU	70.27 N 23.47 E	Freshwater
PRJNA693136	SRR13517304	WGS	293	4954896884	SAMN17377797	2164741229	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928403	Illumina HiSeq 4000	Jossavannet_3.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Jossavannet_3	SRP303045	Model organism or animal	female	fin clip	NA	adult	freshwater	2019-06-28	Norway	Europe	Norway: Jossavannet Lake\, Finnmark	Andrew Foote\, NTNU	70.27 N 23.47 E	Freshwater
PRJNA693136	SRR13517305	WGS	293	1082666824	SAMN17377796	466101296	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928402	Illumina HiSeq 4000	Jossavannet_2.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Jossavannet_2	SRP303045	Model organism or animal	male	fin clip	NA	adult	freshwater	2019-06-28	Norway	Europe	Norway: Jossavannet Lake\, Finnmark	Andrew Foote\, NTNU	70.27 N 23.47 E	Freshwater
PRJNA693136	SRR13517306	WGS	293	3454159895	SAMN17377795	1496013883	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928401	Illumina HiSeq 4000	Jossavannet_1.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Jossavannet_1	SRP303045	Model organism or animal	female	fin clip	NA	adult	freshwater	2019-06-28	Norway	Europe	Norway: Jossavannet Lake\, Finnmark	Andrew Foote\, NTNU	70.27 N 23.47 E	freshwater
PRJNA693136	SRR13517307	WGS	291	1327665788	SAMN17377793	557664186	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928400	Illumina HiSeq 4000	Klubbvatnet_15.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_15	SRP303045	Model organism or animal	female	fin clip	NA	adult	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	70.36 N 23.37 E	freshwater
PRJNA693136	SRR13517308	WGS	290	1031133641	SAMN17377794	432433247	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928399	Illumina HiSeq 4000	Klubbvatnet_14.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_14	SRP303045	Model organism or animal	male	fin clip	NA	adult	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	NA	freshwater
PRJNA693136	SRR13517309	WGS	290	934991321	SAMN17377792	392960356	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928398	Illumina HiSeq 4000	Klubbvatnet_13.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_13	SRP303045	Model organism or animal	male	fin clip	NA	adult	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	NA	freshwater
PRJNA693136	SRR13517311	WGS	293	5390736024	SAMN17377790	2284371735	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928396	Illumina HiSeq 4000	Klubbvatnet_11.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_11	SRP303045	Model organism or animal	female	fin clip	NA	adult	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	70.36 N 23.37 E	freshwater
PRJNA693136	SRR13517313	WGS	291	962297012	SAMN17375686	407257070	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928394	Illumina HiSeq 4000	Klubbvatnet_1.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_1	SRP303045	Model organism or animal	female	fin clip	adult	NA	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	NA	freshwater
PRJNA693136	SRR13517290	WGS	294	5310961473	SAMN17377678	2296399616	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928417	Illumina HiSeq 4000	Klubbvatnet_4.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_4	SRP303045	Model organism or animal	female	fin clip	NA	adult	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	NA	freshwater
PRJNA693136	SRR13517312	WGS	293	4310589370	SAMN17377651	1870947334	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928395	Illumina HiSeq 4000	Klubbvatnet_2.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Klubbvatnet_2	SRP303045	Model organism or animal	female	fin clip	adult	NA	freshwater	2019-06-25	Norway	Europe	Norway: Klubbvatnet Lake\, Finnmark	Andrew Foote\, NTNU	70.36 N 23.37 E	freshwater
PRJNA693136	SRR13517296	WGS	292	7861287726	SAMN17377799	3333046454	NTNU	public	fastq,sra	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	SRX9928411	Illumina HiSeq 4000	Jossavannet_10.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Jossavannet_10	SRP303045	Model organism or animal	missing	Fin clip	NA	Adult	freshwater	2019-06-28	Norway	Europe	Norway: Jossavannet Lake\, Finnmark	Andrew Foote\, NTNU	70.27 N 23.47 E	Freshwater
PRJNA693136	SRR13517300	WGS	291	480027507	SAMN17377804	204502499	NTNU	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9928407	Illumina HiSeq 4000	Jossavannet_6.fastq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2021-03-15T00:00:00Z	Jossavannet_6	SRP303045	Model organism or animal	male	fin clip	NA	adult	freshwater	2019-06-28	Norway	Europe	Norway: Jossavannet Lake\, Finnmark	Andrew Foote\, NTNU	70.27 N 23.47 E	Freshwater
