BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Specimen_voucher	sub_species
PRJNA406821	SRR6026668	WGS	202	17174486016	SAMN07629893	9719746159	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3177129	Illumina HiSeq 2500	MEF457_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia_varia	ILLUMINA	2017-09-23T00:00:00Z	MEF457	SRP117279	Model organism or animal	male	liver	not applicable	adult	NA	2002-12-18	USA	North America	USA: Northeastern Indianapolis\, Marion County\, Indiana	J. D. Webster	39.76833 N 86.15806 W	CAS:ORN:95964	varia
PRJNA406821	SRR6032896	WGS	300	1680538200	SAMN07637314	1013224471	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182947	Illumina HiSeq 2500	MEF435_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97177	SRP117279	Model organism or animal	male	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-08-03	USA	North America	USA: Chandler Glade\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California	B. Woodbridge	41.8582097222 N 122.2604588889 W	CAS:ORN:97177	NA
PRJNA406821	SRR6032897	WGS	300	1693054500	SAMN07637314	1022135452	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182946	Illumina HiSeq 2500	MEF435_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97177	SRP117279	Model organism or animal	male	liver	not applicable	missing	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-08-03	USA	North America	USA: Chandler Glade\, Goosenest Ranger District\, Klamath National Forest\, Siskiyou County\, California	B. Woodbridge	41.8582097222 N 122.2604588889 W	CAS:ORN:97177	NA
PRJNA406821	SRR6032899	WGS	300	103701600	SAMN07637317	64108794	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182944	Illumina HiSeq 2500	MK968_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:92979	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2005-07-28	USA	North America	USA: Black Rock\, 41.8506126404\, -122.2617187500\, 1839.0 m\, Chandler Glade\, Klamath National Forest\, Siskiyou County\, California	J. P. Dumbacher	41.8506126404 N 122.2617187500 W	CAS:ORN:92979	NA
PRJNA406821	SRR6032901	WGS	300	200571900	SAMN07637262	116987231	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182942	Illumina HiSeq 2500	Hoopa20011_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97818	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-23	USA	North America	USA: UTM zone 10\, NAD83\, 436085E 4550786N\, Territory #2026\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.10758 N 123.76232 W	CAS:ORN:97818	NA
PRJNA406821	SRR6032902	WGS	300	301919400	SAMN07637257	180347556	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182941	Illumina HiSeq 2500	ASG017_run2_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95477	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-05-29	USA	North America	USA: Lupton Creek.\, 40.9088897705\, -123.8319473267\, 426.0 m\, Humboldt County\, California	J. P. Dumbacher	40.9088897705 N 123.8319473267 W	CAS:ORN:95477	NA
PRJNA406821	SRR6032905	WGS	300	283087800	SAMN07637257	170642475	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182938	Illumina HiSeq 2500	ASG017_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95477	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-05-29	USA	North America	USA: Lupton Creek.\, 40.9088897705\, -123.8319473267\, 426.0 m\, Humboldt County\, California	J. P. Dumbacher	40.9088897705 N 123.8319473267 W	CAS:ORN:95477	NA
PRJNA406821	SRR6032907	WGS	300	308685600	SAMN07637261	189253918	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182936	Illumina HiSeq 2500	Hoopa20005_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:97815	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2013-10-16	USA	North America	USA: UTM zone 10\, NAD83\, 436575E 4552050N\, Territory #2028\, Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.119 N 123.75662 W	CAS:ORN:97815	NA
PRJNA406821	SRR6032911	WGS	300	974512800	SAMN07637272	585167356	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182932	Illumina HiSeq 2500	NSO138799040_run1_lane1	PAIRED	Restriction Digest	GENOMIC	Strix_occidentalis_caurina	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:99423	SRP117279	Model organism or animal	female	blood	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2011-07-01	USA	North America	USA: Hoopa Valley Indian Reservation\, Humboldt County\, California	J. Mark Higley	41.0818624516879 N 123.7369464 W	CAS:ORN:99423	caurina
PRJNA406821	SRR6032913	WGS	300	787240500	SAMN07637271	476104622	UNIVERSITY OF CALIFORNIA, BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3182930	Illumina HiSeq 2500	MK998_run1_lane2	PAIRED	Restriction Digest	GENOMIC	Strix_varia	ILLUMINA	2019-03-25T00:00:00Z	CAS:ORN:95476	SRP117279	Model organism or animal	male	liver	not applicable	adult	Department of Ornithology and Mammalogy\, California Academy of Sciences\, San Francisco\, California\, United States of America	2006-05-25	USA	North America	USA: Salmon Creek\, 40.6672210693\, -124.1624984741\, 168.0 m\, Humboldt County\, California	J. P. Dumbacher	40.6672210693 N 124.1624984741 W	CAS:ORN:95476	NA
