BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	use_species
PRJNA622646	SRR11468611	WGS	299	10213253798	SAMN14524171	3378241347	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045139	HiSeq X Ten	PE_Pl_26	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_26	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_26	26 year after hatching	1
PRJNA622646	SRR11468613	WGS	299	9830291912	SAMN14524169	3294796512	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045137	HiSeq X Ten	PE_Pl_24	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_24	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_24	24 year after hatching	1
PRJNA622646	SRR11468615	WGS	299	10785222234	SAMN14524167	3576471011	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045135	HiSeq X Ten	PE_Pl_22	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_22	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_22	22 year after hatching	1
PRJNA622646	SRR11468617	WGS	299	10337709396	SAMN14524166	3406697181	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045133	HiSeq X Ten	PE_Pl_21	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_21	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_21	21 year after hatching	1
PRJNA622646	SRR11468618	WGS	299	9715844796	SAMN14524165	3257296433	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045132	HiSeq X Ten	PE_Pl_20	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_20	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_20	20 year after hatching	1
PRJNA622646	SRR11468620	WGS	299	11291135338	SAMN14524163	3761164998	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045130	HiSeq X Ten	PE_Pl_18	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_18	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_18	18 year after hatching	1
PRJNA622646	SRR11468622	WGS	299	12780569074	SAMN14524161	4204012957	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045128	HiSeq X Ten	PE_Pl_16	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_16	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_16	16 year after hatching	1
PRJNA622646	SRR11468624	WGS	299	9929544868	SAMN14524159	3321646016	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045126	HiSeq X Ten	PE_Pl_14	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_14	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_14	14 year after hatching	1
PRJNA622646	SRR11468626	WGS	299	10042131584	SAMN14524157	3315406603	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045124	HiSeq X Ten	PE_Pl_12	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_12	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_12	12 year after hatching	1
PRJNA622646	SRR11468628	WGS	299	10435393092	SAMN14524146	3421486967	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045122	HiSeq X Ten	PE_Pl_01	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_01	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_01	1 year after hatching	1
PRJNA622646	SRR11468575	WGS	299	10101538322	SAMN14524156	3374987568	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045175	HiSeq X Ten	PE_Pl_11	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_11	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_11	11 year after hatching	1
PRJNA622646	SRR11468576	WGS	299	9763997562	SAMN14524155	3255369480	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045174	HiSeq X Ten	PE_Pl_10	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_10	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_10	10 year after hatching	1
PRJNA622646	SRR11468578	WGS	299	11272070250	SAMN14524153	3670348213	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045172	HiSeq X Ten	PE_Pl_08	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_08	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_08	8 year after hatching	1
PRJNA622646	SRR11468581	WGS	299	16501114734	SAMN14524198	5474521230	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045169	HiSeq X Ten	PE_Pl_53	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_53	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_53	53 year after hatching	1
PRJNA622646	SRR11468582	WGS	299	12501352028	SAMN14524197	4160099639	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045168	HiSeq X Ten	PE_Pl_52	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_52	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_52	52 year after hatching	1
PRJNA622646	SRR11468585	WGS	299	21084892284	SAMN14524195	7020509109	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045165	HiSeq X Ten	PE_Pl_50	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_50	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_50	50 year after hatching	1
PRJNA622646	SRR11468586	WGS	299	13387342978	SAMN14524194	4415198280	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045164	HiSeq X Ten	PE_Pl_49	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_49	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_49	49 year after hatching	1
PRJNA622646	SRR11468588	WGS	299	13350446726	SAMN14524192	4453819835	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045162	HiSeq X Ten	PE_Pl_47	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_47	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_47	47 year after hatching	1
PRJNA622646	SRR11468590	WGS	299	15509443558	SAMN14524190	5077229288	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045160	HiSeq X Ten	PE_Pl_45	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_45	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_45	45 year after hatching	1
PRJNA622646	SRR11468591	WGS	299	15770302062	SAMN14524189	5161478854	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045159	HiSeq X Ten	PE_Pl_44	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_44	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_44	44 year after hatching	1
PRJNA622646	SRR11468593	WGS	299	12367043556	SAMN14524187	4106685173	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045157	HiSeq X Ten	PE_Pl_42	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_42	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_42	42 year after hatching	1
PRJNA622646	SRR11468595	WGS	299	9805267750	SAMN14524186	3200668541	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045155	HiSeq X Ten	PE_Pl_41	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_41	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_41	41 year after hatching	1
PRJNA622646	SRR11468599	WGS	299	12672961194	SAMN14524182	4308515733	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045151	HiSeq X Ten	PE_Pl_37	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_37	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_37	37 year after hatching	1
PRJNA622646	SRR11468601	WGS	299	11737827110	SAMN14524180	3879463098	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045149	HiSeq X Ten	PE_Pl_35	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_35	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_35	35 year after hatching	1
PRJNA622646	SRR11468603	WGS	299	14186957228	SAMN14524178	4667533014	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045147	HiSeq X Ten	PE_Pl_33	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_33	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_33	33 year after hatching	1
PRJNA622646	SRR11468605	WGS	299	11249121566	SAMN14524149	3683617728	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045145	HiSeq X Ten	PE_Pl_04	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_04	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_04	4 year after hatching	1
PRJNA622646	SRR11468607	WGS	299	11362011154	SAMN14524175	3764134440	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045143	HiSeq X Ten	PE_Pl_30	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_30	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_30	30 year after hatching	1
PRJNA622646	SRR11468608	WGS	299	10441854180	SAMN14524174	3441082684	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045142	HiSeq X Ten	PE_Pl_29	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_29	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_29	29 year after hatching	1
PRJNA622646	SRR11468610	WGS	299	10329737014	SAMN14524172	3461634855	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045140	HiSeq X Ten	PE_Pl_27	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_27	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_27	27 year after hatching	1
PRJNA622646	SRR11468614	WGS	299	12155530646	SAMN14524168	4109705021	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045136	HiSeq X Ten	PE_Pl_23	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_23	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_23	23 year after hatching	1
PRJNA622646	SRR11468619	WGS	299	10200291006	SAMN14524164	3401783362	YELLOW SEA FISHERIES RESEARCH INSTITUTE, CHINESE ACADEMY OF FISHERY SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8045131	HiSeq X Ten	PE_Pl_19	PAIRED	RANDOM	GENOMIC	Plectropomus_leopardus	ILLUMINA	2020-04-02T00:00:00Z	Pl_19	SRP254968	Model organism or animal	hermaphrodite	fin	Hainan_19	19 year after hatching	1
