BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Collection_date	Sample_Name	use_species
PRJNA477377	SRR7411995	WGS	300	4431087000	SAMN09469363	1975081105	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283473	Illumina HiSeq 4000	Ppun_1_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_1	SRP151119	Model organism or animal	male	right pectoral fin	1	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411996	WGS	300	4147085100	SAMN09469349	1831870143	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283472	Illumina HiSeq 4000	Ppun_12_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_12	SRP151119	Model organism or animal	female	right pectoral fin	12	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411997	WGS	300	3572435400	SAMN09469372	1579579140	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283471	Illumina HiSeq 4000	Ppun_11_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_11	SRP151119	Model organism or animal	male	right pectoral fin	11	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411998	WGS	300	1496214000	SAMN09469351	658279862	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283470	Illumina HiSeq 4000	Ppun_14_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_14	SRP151119	Model organism or animal	female	right pectoral fin	14	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7411999	WGS	300	2582028000	SAMN09469350	1148999574	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283469	Illumina HiSeq 4000	Ppun_13_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_13	SRP151119	Model organism or animal	female	right pectoral fin	13	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412001	WGS	300	1343746500	SAMN09469352	600512516	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283467	Illumina HiSeq 4000	Ppun_15_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_15	SRP151119	Model organism or animal	female	right pectoral fin	15	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412003	WGS	300	3227898300	SAMN09469353	1447361420	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283465	Illumina HiSeq 4000	Ppun_16_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_16	SRP151119	Model organism or animal	female	right pectoral fin	16	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412005	WGS	300	1318465200	SAMN09469369	591199352	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283463	Illumina HiSeq 4000	Ppun_8_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_8	SRP151119	Model organism or animal	male	right pectoral fin	8	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412006	WGS	300	6447755700	SAMN09469370	2853993626	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283462	Illumina HiSeq 4000	Ppun_9_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_9	SRP151119	Model organism or animal	male	right pectoral fin	9	adult	Biwase_tide_pool	2017-04-19	NA	1
PRJNA477377	SRR7412009	WGS	300	4226970600	SAMN09469365	1895722202	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283459	Illumina HiSeq 4000	Ppun_3_lib	PAIRED	RANDOM	GENOMIC	Pungitius_pungitius	ILLUMINA	2018-09-01T00:00:00Z	2017_Apr_Biwa_Ppun_3	SRP151119	Model organism or animal	male	right pectoral fin	3	adult	Biwase_tide_pool	2017-04-19	NA	1
