BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB22221	ERR2098927	WGS	298	61446544193	SAMEA104219291	30517009878	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156239	HiSeq X Ten	L_XH1	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219291	ERP024567	missing	ERS1878309	2018-01-18	2020-06-24	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878309	XH1_M	XH1	male	ERC000011	0
PRJEB22221	ERR2098929	WGS	298	65639144611	SAMEA104219293	30180362834	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156241	HiSeq X Ten	L_XH3	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219293	ERP024567	missing	ERS1878311	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878311	XH3_F	XH3	female	ERC000011	0
PRJEB22221	ERR2098930	WGS	298	63829652611	SAMEA104219294	29470452221	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156242	HiSeq X Ten	L_XH4	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219294	ERP024567	missing	ERS1878312	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878312	XH4_F	XH4	female	ERC000011	0
PRJEB22221	ERR2098928	WGS	298	69353040410	SAMEA104219292	33780199294	UNIVERSITY OF EDINBURGH	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2156240	HiSeq X Ten	L_XH2	PAIRED	RANDOM	GENOMIC	Xiphophorus_hellerii	ILLUMINA	2018-01-26T00:00:00Z	SAMEA104219292	ERP024567	missing	ERS1878310	2018-01-18	2018-11-16	ED	University of Edinburgh	2018-01-18T17:03:27Z	2017-08-18T09:12:49Z	public	ERS1878310	XH2_M	XH2	male	ERC000011	0
