Organism	BioProject	BioSample	SampleName
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385615	SAMEA4385615
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385616	SAMEA4385616
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385617	SAMEA4385617
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385618	SAMEA4385618
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385620	SAMEA4385620
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385621	SAMEA4385621
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385622	SAMEA4385622
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385623	SAMEA4385623
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385624	SAMEA4385624
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385625	SAMEA4385625
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385626	SAMEA4385626
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385627	SAMEA4385627
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385628	SAMEA4385628
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385629	SAMEA4385629
Gasterosteus_aculeatus	PRJEB15181	SAMEA4385619	SAMEA4385619
