Organism	BioProject	BioSample	SampleName	Sex	Strain
Takifugu_bimaculatus	PRJNA522329	SAMN10928543	B04	not determined	B04
Takifugu_bimaculatus	PRJNA522329	SAMN10928542	B03	not determined	B03
Takifugu_bimaculatus	PRJNA522329	SAMN10928541	B02	not determined	B02
Takifugu_bimaculatus	PRJNA522329	SAMN10928540	B01	not determined	B01
Takifugu_bimaculatus	PRJNA522329	SAMN10928547	B09	not determined	B09
Takifugu_bimaculatus	PRJNA522329	SAMN10928546	B08	not determined	B08
Takifugu_bimaculatus	PRJNA522329	SAMN10928544	B05	not determined	B05
Takifugu_bimaculatus	PRJNA522329	SAMN10928545	B07	not determined	B07
