Organism	BioProject	BioSample	SampleName
Poecilia_formosa	PRJNA89109	SAMN03568550	476505
Poecilia_formosa	PRJNA89109	SAMN03568563	476657
Poecilia_formosa	PRJNA89109	SAMN03568560	476645
Poecilia_formosa	PRJNA89109	SAMN03568562	476653
Poecilia_formosa	PRJNA89109	SAMN03568558	476637
Poecilia_formosa	PRJNA89109	SAMN03568564	476661
Poecilia_formosa	PRJNA89109	SAMN03568568	476686
Poecilia_formosa	PRJNA89109	SAMN03568559	476641
Poecilia_formosa	PRJNA89109	SAMN03568567	476682
Poecilia_formosa	PRJNA89109	SAMN03568565	476668
Poecilia_formosa	PRJNA89109	SAMN03568561	476649
Poecilia_formosa	PRJNA89109	SAMN03568566	476675
Poecilia_formosa	PRJNA89109	SAMN03568557	476633
Poecilia_formosa	PRJNA89109	SAMN03568554	476621
Poecilia_formosa	PRJNA89109	SAMN03568551	476509
Poecilia_formosa	PRJNA89109	SAMN03568555	476625
Poecilia_formosa	PRJNA89109	SAMN03568553	476517
Poecilia_formosa	PRJNA89109	SAMN03568556	476629
Poecilia_formosa	PRJNA89109	SAMN03568552	476513
Poecilia_formosa	PRJNA89109	SAMN01797686	147033
Poecilia_formosa	PRJNA89109	SAMN01797685	147023
Poecilia_formosa	PRJNA89109	SAMN02214419	163904
