Organism	BioProject	BioSample	SampleName	Sex	Country	Continent	Locality
Coryphaenoides_rupestris	PRJNA430094	SAMN08365914	Crup_Cru8	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365915	Crup_J70	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365930	Crup_J85	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365931	Crup_L01	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365928	Crup_J82	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365929	Crup_J83	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365926	Crup_Cru24	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365927	Crup_J67	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365906	Crup_Cru28	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365907	Crup_J100	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365908	Crup_J86	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365909	Crup_L06	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365910	Crup_L26	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365911	Crup_L35	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365912	Crup_L49	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365913	Crup_Cru26	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365945	Crup_J80	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365905	Crup_Cru22	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365934	Crup_L31	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365901	Crup_L05	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365902	Crup_L36	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365896	Crup_Cru19	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365897	Crup_Cru7	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365898	Crup_J71	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365899	Crup_J87	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365941	Crup_Cru9	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365904	Crup_Cru21	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365917	Crup_J77	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365955	Crup_L50	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365948	Crup_L022	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365938	Crup_Cru10	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
Coryphaenoides_rupestris	PRJNA430094	SAMN08365903	Crup_Cru14	missing	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland
