BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Collection_date	use_species
PRJNA477377	SRR7411962	WGS	300	8061867900	SAMN09469396	3701988562	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283506	Illumina HiSeq 4000	Psin_18_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2017_Yuza_Psin_18	SRP151119	Model organism or animal	male	right pectoral fin	18	adult	Yuza_Hatsume_River	2017-05-15	0
PRJNA477377	SRR7411963	WGS	300	7698203100	SAMN09469395	3503189622	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283505	Illumina HiSeq 4000	Psin_17_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_17	SRP151119	Model organism or animal	male	right pectoral fin	17	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411966	WGS	300	5638162800	SAMN09469380	2581179586	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283502	Illumina HiSeq 4000	Psin_10_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_10	SRP151119	Model organism or animal	female	right pectoral fin	10	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411967	WGS	300	3127096200	SAMN09469387	1447390154	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283501	Illumina HiSeq 4000	Psin_1_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_1	SRP151119	Model organism or animal	male	right pectoral fin	1	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411968	WGS	300	4539390600	SAMN09469382	2077849863	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283500	Illumina HiSeq 4000	Psin_12_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_12	SRP151119	Model organism or animal	female	right pectoral fin	12	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411969	WGS	300	4118948400	SAMN09469381	1879821823	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283499	Illumina HiSeq 4000	Psin_11_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_11	SRP151119	Model organism or animal	female	right pectoral fin	11	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411970	WGS	300	2636744700	SAMN09469384	1202030446	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283498	Illumina HiSeq 4000	Psin_14_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_14	SRP151119	Model organism or animal	female	right pectoral fin	14	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411971	WGS	300	3636711000	SAMN09469383	1663282558	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283497	Illumina HiSeq 4000	Psin_13_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_13	SRP151119	Model organism or animal	female	right pectoral fin	13	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411972	WGS	300	2437140600	SAMN09469394	1116808688	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283496	Illumina HiSeq 4000	Psin_16_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_16	SRP151119	Model organism or animal	male	right pectoral fin	16	adult	Yuza_Hatsume_River	2016-08-12	0
PRJNA477377	SRR7411973	WGS	300	2656816800	SAMN09469385	1220157710	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283495	Illumina HiSeq 4000	Psin_15_lib	PAIRED	RANDOM	GENOMIC	Pungitius_sinensis	ILLUMINA	2018-09-01T00:00:00Z	2016_Yuza_Psin_15	SRP151119	Model organism or animal	female	right pectoral fin	15	adult	Yuza_Hatsume_River	2016-08-12	0
