Organism	BioProject	BioSample	SampleName	Sex	Isolate	Country	Continent	Locality	Strain
Eopsaltria_australis	PRJNA476023	SAMN09425179	EYR054	female	EYR054	NA	NA	NA	NA
Eopsaltria_australis	PRJNA476023	SAMN10581952	EYR056	female	EYR056	Australia	Oceania	Australia: Victoria	NA
Eopsaltria_australis	PRJNA476023	SAMN10592523	NSW016	female	NA	Australia	Oceania	Australia:New South Wales	NSW016
Eopsaltria_australis	PRJNA476023	SAMN10592522	ANWC-B49226	female	NA	Australia	Oceania	Australia:New South Wales	ANWC-B49226
Eopsaltria_australis	PRJNA476023	SAMN10592520	ANWC-B43452	female	NA	Australia	Oceania	Australia:Queensland	ANWC-B43452
Eopsaltria_australis	PRJNA476023	SAMN10592519	ANWC-B20524	female	NA	Australia	Oceania	Australia:Queensland	ANWC-B20524
Eopsaltria_australis	PRJNA476023	SAMN10592518	026-37158	female	NA	Australia	Oceania	Australia:Victoria	026-37158
Eopsaltria_australis	PRJNA476023	SAMN10592517	026-30490	female	NA	Australia	Oceania	Australia:Victoria	026-30490
Eopsaltria_australis	PRJNA476023	SAMN10592516	024-96456	female	NA	Australia	Oceania	Australia:Victoria	024-96456
Eopsaltria_australis	PRJNA476023	SAMN10592515	026-37174	female	NA	Australia	Oceania	Australia:Victoria	026-37174
Eopsaltria_australis	PRJNA476023	SAMN10592514	026-37152	female	NA	Australia	Oceania	Australia:Victoria	026-37152
Eopsaltria_australis	PRJNA476023	SAMN10592528	026-30495	male	NA	Australia	Oceania	Australia:Victoria	026-30495
Eopsaltria_australis	PRJNA476023	SAMN10592531	NSW041	male	NA	Australia	Oceania	Australia:New South Wales	NSW041
Eopsaltria_australis	PRJNA476023	SAMN10592525	026-63069	male	NA	Australia	Oceania	Australia:Victoria	026-63069
Eopsaltria_australis	PRJNA476023	SAMN10592524	024-96467	male	NA	Australia	Oceania	Australia:Victoria	024-96467
Eopsaltria_australis	PRJNA476023	SAMN10592527	027-09500	male	NA	Australia	Oceania	Australia:Victoria	027-09500
Eopsaltria_australis	PRJNA476023	SAMN10592526	026-37169	male	NA	Australia	Oceania	Australia:Victoria	026-37169
Eopsaltria_australis	PRJNA476023	SAMN10592532	NSW043	male	NA	Australia	Oceania	Australia:New South Wales	NSW043
Eopsaltria_australis	PRJNA476023	SAMN10592529	ANWC-B43508	male	NA	Australia	Oceania	Australia:Queensland	ANWC-B43508
Eopsaltria_australis	PRJNA476023	SAMN10592530	NSW039	male	NA	Australia	Oceania	Australia:New South Wales	NSW039
Eopsaltria_australis	PRJNA476023	SAMN10592521	ANWC-B44545	female	NA	Australia	Oceania	Australia:New South Wales	ANWC-B44545
