BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Alias	ENA_CHECKLIST	use_species
PRJEB1254	ERR715495	WGS	250	17134246000	SAMEA2661239	5951938198	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX659417	Illumina HiSeq 2000	11649560	PAIRED	RANDOM	GENOMIC	Buccochromis_nototaenia	ILLUMINA	2015-01-29T00:00:00Z	SAMEA2661239	ERP002088	ERS510453	2015-01-08	2018-11-16	NA	NA	SC	Wellcome Sanger Institute	2015-01-08T09:40:48Z	2018-03-09T11:36:12Z	public	ERS510453	Buccochromis nototaenia	NA	Buccochromis_nototaenia-sc-2016549	ERC000011	0
PRJEB15289	ERR1749418	WGS	302	30053097536	SAMEA4033304	13320377465	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818598	HiSeq X Ten	DN461234K:B4	PAIRED	RANDOM	GENOMIC	Buccochromis_nototaenia	ILLUMINA	2016-12-07T00:00:00Z	d6ba2640-2348-11e6-a63e-3c4a9275d6c8	ERP017005	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Buccochromis nototaenia	NA	NA	0
PRJEB15289	ERR1749419	WGS	302	29488970898	SAMEA4032108	13059174887	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818599	HiSeq X Ten	DN461234K:C4	PAIRED	RANDOM	GENOMIC	Buccochromis_nototaenia	ILLUMINA	2016-12-07T00:00:00Z	d6c60d20-2348-11e6-a63e-3c4a9275d6c8	ERP017005	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Buccochromis nototaenia	NA	NA	0
PRJEB15289	ERR1749420	WGS	302	32794644174	SAMEA4033305	14509912697	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818600	HiSeq X Ten	DN461234K:D4	PAIRED	RANDOM	GENOMIC	Buccochromis_nototaenia	ILLUMINA	2016-12-07T00:00:00Z	d6d35390-2348-11e6-a63e-3c4a9275d6c8	ERP017005	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	NA	Buccochromis nototaenia	NA	NA	0
