BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Isolation_source	disease
PRJNA431202	SRR6670145	WGS	250	21832033000	SAMN08465494	9983981238	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646932	Illumina HiSeq 2500	L6432-1_BO15-115_S20	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-115	SRP132168	Model organism or animal	female	blood	adult	missing	A_urban_2014	Site A:urban_2014	32
PRJNA431202	SRR6670148	WGS	250	18521783000	SAMN08465506	7957638021	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646929	Illumina HiSeq 2500	L6409-1_BO15-092_S24	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-092	SRP132168	Model organism or animal	female	blood	adult	missing	B_urban_2013	Site B:urban_2013	44
PRJNA431202	SRR6670150	WGS	250	19183534250	SAMN08465504	8403192079	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646927	Illumina HiSeq 2500	L6398-1_BO15-081_S13	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-081	SRP132168	Model organism or animal	male	blood	adult	missing	B_urban_2013	Site B:urban_2013	42
PRJNA431202	SRR6670151	WGS	250	22675414500	SAMN08465503	10197318334	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646926	Illumina HiSeq 2500	L6410-1_BO15-093_S1	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-093	SRP132168	Model organism or animal	female	blood	adult	missing	B_urban_2013	Site B:urban_2013	41
PRJNA431202	SRR6670152	WGS	250	18846218750	SAMN08465510	8067497412	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646925	Illumina HiSeq 2500	L6408-1_BO15-091_S23	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-091	SRP132168	Model organism or animal	female	blood	adult	missing	B_urban_2013	Site B:urban_2013	48
PRJNA431202	SRR6670154	WGS	250	16336805000	SAMN08465508	7287411871	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646923	Illumina HiSeq 2500	L6401-1_BO15-084_S16	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-084	SRP132168	Model organism or animal	male	blood	adult	missing	B_urban_2013	Site B:urban_2013	46
PRJNA431202	SRR6670156	WGS	250	21456333000	SAMN08465517	9680957308	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646921	Illumina HiSeq 2500	L6411-1_BO15-094_S2	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-094	SRP132168	Model organism or animal	male	blood	adult	missing	B_urban_2014	Site B:urban_2014	55
PRJNA431202	SRR6670157	WGS	250	20374965750	SAMN08465518	9516417643	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646920	Illumina HiSeq 2500	L6413-1_BO15-096_S4	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-096	SRP132168	Model organism or animal	male	blood	adult	missing	B_urban_2014	Site B:urban_2014	56
PRJNA431202	SRR6670158	WGS	250	19230087000	SAMN08465519	8723673501	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646919	Illumina HiSeq 2500	L6417-1_BO15-100_S8	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-100	SRP132168	Model organism or animal	female	blood	adult	missing	B_urban_2014	Site B:urban_2014	57
PRJNA431202	SRR6670160	WGS	250	18860518500	SAMN08465513	8360997902	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646917	Illumina HiSeq 2500	L6404-1_BO15-087_S19	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-087	SRP132168	Model organism or animal	female	blood	adult	missing	B_urban_2013	Site B:urban_2013	51
PRJNA431202	SRR6670168	WGS	250	23066094500	SAMN08465526	10090235575	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646909	Illumina HiSeq 2500	L6388-1_BO15-067_S3	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-067	SRP132168	Model organism or animal	male	blood	adult	missing	C1_urban_2012	Site C1:urban_2012	64
PRJNA431202	SRR6670171	WGS	200	10413205400	SAMN08465527	7270430331	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646906	Illumina HiSeq 2500	L5745-1_BO15-065_S2	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-065	SRP132168	Model organism or animal	male	blood	adult	missing	C1_urban_2012	Site C1:urban_2012	65
PRJNA431202	SRR6670172	WGS	250	42637318500	SAMN08465530	14238391536	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646905	Illumina HiSeq 2500	L5740-1_BO15-059_ATGTCA_L007	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-059	SRP132168	Model organism or animal	female	blood	adult	missing	C1_urban_2012	Site C1:urban_2012	68
