Organism	BioProject	BioSample	SampleName	Country	Continent	Locality	Strain
Egretta_garzetta	PRJNA309350	SAMN04432132	SZAIPI003276-3	China	Asia	China:Shanxi	ec02
Egretta_garzetta	PRJNA309350	SAMN04432133	SZAIPI003275-4	China	Asia	China:Shanxi	ec03
Egretta_garzetta	PRJNA309350	SAMN04432134	SZAIPI003274-6	China	Asia	China:Shanxi	ec04
Egretta_garzetta	PRJNA309350	SAMN04432136	SZAIPI003272-8	China	Asia	China:Shanxi	ec06
Egretta_garzetta	PRJNA309350	SAMN04432135	SZAIPI003273-7	China	Asia	China:Shanxi	ec05
