Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Sylvia_atricapilla	PRJNA616371	SAMN14488541	9380	male	9380	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488539	9357	male	9357	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488538	8201	male	8201	med dist SE
Sylvia_atricapilla	PRJNA616371	SAMN14488537	UCM052	male	UCM052	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488536	UCM063	male	UCM063	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488535	UCM061	male	UCM061	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488534	UCM060	male	UCM060	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488533	UCM059	male	UCM059	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488532	UCM057	male	UCM057	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488531	UCM056	male	UCM056	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488459	N968352	male	N968352	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488530	UCM053	male	UCM053	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488529	UCM051	male	UCM051	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488528	UCM018	male	UCM018	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488527	UCM017	male	UCM017	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488526	UCM016	male	UCM016	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488525	UCM014	male	UCM014	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488524	UCM012	male	UCM012	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488523	9123	male	9123	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488522	9179	male	9179	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488458	N968342	male	N968342	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488520	9167	male	9167	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488519	9073	male	9073	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488518	9138	male	9138	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488517	9176	male	9176	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488516	9130	male	9130	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488515	9106	male	9106	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488514	9194	male	9194	med dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488513	9042	male	9042	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488511	9078	male	9078	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488457	1N23590	male	1N23590	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488510	9201	male	9201	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488509	bcUK	male	bcUK	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488508	BRN05	male	BRN05	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488507	BRN10	male	BRN10	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488506	EN08	male	EN08	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488505	EN01	male	EN01	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488504	DU08	male	DU08	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488503	9175	male	9175	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488502	9030	male	9030	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488501	9033	male	9033	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488456	1N23588	male	1N23588	resident island
Sylvia_atricapilla	PRJNA616371	SAMN14488500	9029	male	9029	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488499	9034	male	9034	med dist NW
Sylvia_atricapilla	PRJNA616371	SAMN14488498	UCM114	male	UCM114	short dist SW
Sylvia_atricapilla	PRJNA616371	SAMN14488497	UCM139	male	UCM139	short dist SW
