Organism	BioProject	BioSample	SampleName	Sex	Strain
Cyprinus_carpio	PRJNA510861	SAMN10617437	GM00	female	GM00
Cyprinus_carpio	PRJNA510861	SAMN10617436	HB00	female	HB00
Cyprinus_carpio	PRJNA510861	SAMN10617513	SP20	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617512	SP19	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617511	SP18	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617505	SP11	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617506	SP12	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617507	SP14	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617508	SP15	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617501	SP03	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617502	SP04	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617503	SP05	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617504	SP09	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617509	SP16	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617510	SP17	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617480	HB17	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617479	HB15	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617478	HB14	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617477	HB13	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617476	HB12	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617475	HB11	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617474	HB10	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617473	HB9	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617472	HB8	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617471	HB7	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617469	HB5	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617470	HB6	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617465	HB1	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617466	HB2	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617468	HB4	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617496	Y14	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617495	Y13	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617498	Y16	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617497	Y15	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617492	Y10	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617491	Y09	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617494	Y12	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617493	Y11	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617500	SP02	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617499	SP01	not collected	Mirror carp
Cyprinus_carpio	PRJNA510861	SAMN10617435	YR00	female	YR00
Cyprinus_carpio	PRJNA510861	SAMN10617487	Y05	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617488	Y06	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617485	Y03	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617486	Y04	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617483	Y01	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617484	Y02	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617481	HB18	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617482	HB19	not collected	Hebao
Cyprinus_carpio	PRJNA510861	SAMN10617489	Y07	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617490	Y08	not collected	Yellow River
Cyprinus_carpio	PRJNA510861	SAMN10617467	HB3	not collected	Hebao
