Organism	BioProject	BioSample	SampleName
Astatotilapia_calliptera	PRJEB1254	SAMEA3388875	SAMEA3388875
Astatotilapia_calliptera	PRJEB1254	SAMEA3388876	SAMEA3388876
Astatotilapia_calliptera	PRJEB1254	SAMEA3388877	SAMEA3388877
Astatotilapia_calliptera	PRJEB1254	SAMEA1920092	SAMEA1920092
Astatotilapia_calliptera	PRJEB1254	SAMEA1920090	SAMEA1920090
Astatotilapia_calliptera	PRJEB1254	SAMEA1920091	SAMEA1920091
Astatotilapia_calliptera	PRJEB1254	SAMEA2661291	SAMEA2661291
Astatotilapia_calliptera	PRJEB1254	SAMEA2661293	SAMEA2661293
Astatotilapia_calliptera	PRJEB1254	SAMEA2661295	SAMEA2661295
Astatotilapia_calliptera	PRJEB1254	SAMEA2661381	SAMEA2661381
Astatotilapia_calliptera	PRJEB1254	SAMEA2661382	SAMEA2661382
Astatotilapia_calliptera	PRJEB1254	SAMEA2661383	SAMEA2661383
Astatotilapia_calliptera	PRJEB1254	SAMEA2661385	SAMEA2661385
Astatotilapia_calliptera	PRJEB1254	SAMEA2661386	SAMEA2661386
Astatotilapia_calliptera	PRJEB1254	SAMEA2661388	SAMEA2661388
Astatotilapia_calliptera	PRJEB1254	SAMEA2661389	SAMEA2661389
Astatotilapia_calliptera	PRJEB1254	SAMEA2661390	SAMEA2661390
Astatotilapia_calliptera	PRJEB1254	SAMEA2661391	SAMEA2661391
Astatotilapia_calliptera	PRJEB1254	SAMEA1904323	SAMEA1904323
Astatotilapia_calliptera	PRJEB1254	SAMEA1904327	SAMEA1904327
Astatotilapia_calliptera	PRJEB1254	SAMEA1904328	SAMEA1904328
Astatotilapia_calliptera	PRJEB1254	SAMEA1904326	SAMEA1904326
Astatotilapia_calliptera	PRJEB1254	SAMEA1904833	SAMEA1904833
Astatotilapia_calliptera	PRJEB1254	SAMEA3388878	SAMEA3388878
Astatotilapia_calliptera	PRJEB1254	SAMEA2661387	SAMEA2661387
Astatotilapia_calliptera	PRJEB1254	SAMEA2661384	SAMEA2661384
