Organism	BioProject	BioSample	SampleName
Oryzias_latipes	PRJEB2759	SAMEA1317600	SAMEA1317600
Oryzias_latipes	PRJEB2759	SAMEA1317593	SAMEA1317593
Oryzias_latipes	PRJEB2759	SAMEA1317611	SAMEA1317611
Oryzias_latipes	PRJEB2759	SAMEA1317608	SAMEA1317608
Oryzias_latipes	PRJEB2759	SAMEA1317601	SAMEA1317601
Oryzias_latipes	PRJEB2759	SAMEA1317595	SAMEA1317595
Oryzias_latipes	PRJEB2759	SAMEA1317615	SAMEA1317615
Oryzias_latipes	PRJEB2759	SAMEA1317607	SAMEA1317607
Oryzias_latipes	PRJEB2759	SAMEA1317610	SAMEA1317610
Oryzias_latipes	PRJEB2759	SAMEA1317613	SAMEA1317613
Oryzias_latipes	PRJEB2759	SAMEA1317612	SAMEA1317612
Oryzias_latipes	PRJEB2759	SAMEA1317616	SAMEA1317616
Oryzias_latipes	PRJEB2759	SAMEA1317597	SAMEA1317597
Oryzias_latipes	PRJEB2759	SAMEA1317599	SAMEA1317599
Oryzias_latipes	PRJEB2759	SAMEA1317609	SAMEA1317609
Oryzias_latipes	PRJEB2759	SAMEA1317598	SAMEA1317598
Oryzias_latipes	PRJEB2759	SAMEA1317596	SAMEA1317596
Oryzias_latipes	PRJEB2759	SAMEA1317602	SAMEA1317602
Oryzias_latipes	PRJEB2759	SAMEA1317594	SAMEA1317594
Oryzias_latipes	PRJEB2759	SAMEA1317603	SAMEA1317603
Oryzias_latipes	PRJEB2759	SAMEA1317606	SAMEA1317606
Oryzias_latipes	PRJEB2759	SAMEA1317605	SAMEA1317605
Oryzias_latipes	PRJEB2759	SAMEA1317614	SAMEA1317614
Oryzias_latipes	PRJEB2759	SAMEA1317604	SAMEA1317604
