Organism	BioProject	BioSample	SampleName	Sex
Anas_platyrhynchos	PRJNA450892	SAMN08952632	S89	male
Anas_platyrhynchos	PRJNA450892	SAMN08952633	S90	male
Anas_platyrhynchos	PRJNA450892	SAMN08952628	S85	female
Anas_platyrhynchos	PRJNA450892	SAMN08952629	S86	male
Anas_platyrhynchos	PRJNA450892	SAMN08952630	S87	female
Anas_platyrhynchos	PRJNA450892	SAMN08952631	S88	male
Anas_platyrhynchos	PRJNA450892	SAMN08952625	S82	male
Anas_platyrhynchos	PRJNA450892	SAMN08952626	S83	female
Anas_platyrhynchos	PRJNA450892	SAMN08952627	S84	male
Anas_platyrhynchos	PRJNA450892	SAMN08952563	S20	female
Anas_platyrhynchos	PRJNA450892	SAMN08952562	S19	female
Anas_platyrhynchos	PRJNA450892	SAMN08952557	S14	female
Anas_platyrhynchos	PRJNA450892	SAMN08952556	S13	female
Anas_platyrhynchos	PRJNA450892	SAMN08952555	S12	female
Anas_platyrhynchos	PRJNA450892	SAMN08952554	S11	female
Anas_platyrhynchos	PRJNA450892	SAMN08952561	S18	female
Anas_platyrhynchos	PRJNA450892	SAMN08952560	S17	female
Anas_platyrhynchos	PRJNA450892	SAMN08952559	S16	female
Anas_platyrhynchos	PRJNA450892	SAMN08952558	S15	female
Anas_platyrhynchos	PRJNA450892	SAMN08952646	S103	female
Anas_platyrhynchos	PRJNA450892	SAMN08952647	S104	male
Anas_platyrhynchos	PRJNA450892	SAMN08952644	S101	female
Anas_platyrhynchos	PRJNA450892	SAMN08952648	S105	female
Anas_platyrhynchos	PRJNA450892	SAMN08952649	S106	male
Anas_platyrhynchos	PRJNA450892	SAMN08952575	S32	female
Anas_platyrhynchos	PRJNA450892	SAMN08952574	S31	female
Anas_platyrhynchos	PRJNA450892	SAMN08952576	S33	female
Anas_platyrhynchos	PRJNA450892	SAMN08952579	S36	female
Anas_platyrhynchos	PRJNA450892	SAMN08952578	S35	female
Anas_platyrhynchos	PRJNA450892	SAMN08952581	S38	male
Anas_platyrhynchos	PRJNA450892	SAMN08952580	S37	female
Anas_platyrhynchos	PRJNA450892	SAMN08952583	S40	male
Anas_platyrhynchos	PRJNA450892	SAMN08952582	S39	male
Anas_platyrhynchos	PRJNA450892	SAMN08952601	S58	female
Anas_platyrhynchos	PRJNA450892	SAMN08952600	S57	female
Anas_platyrhynchos	PRJNA450892	SAMN08952599	S56	male
Anas_platyrhynchos	PRJNA450892	SAMN08952598	S55	female
Anas_platyrhynchos	PRJNA450892	SAMN08952597	S54	female
Anas_platyrhynchos	PRJNA450892	SAMN08952596	S53	male
Anas_platyrhynchos	PRJNA450892	SAMN08952595	S52	female
Anas_platyrhynchos	PRJNA450892	SAMN08952594	S51	female
Anas_platyrhynchos	PRJNA450892	SAMN08952603	S60	female
Anas_platyrhynchos	PRJNA450892	SAMN08952602	S59	male
Anas_platyrhynchos	PRJNA450892	SAMN08952545	S2	female
Anas_platyrhynchos	PRJNA450892	SAMN08952544	S1	female
Anas_platyrhynchos	PRJNA450892	SAMN08952547	S4	female
Anas_platyrhynchos	PRJNA450892	SAMN08952546	S3	female
Anas_platyrhynchos	PRJNA450892	SAMN08952549	S6	female
Anas_platyrhynchos	PRJNA450892	SAMN08952548	S5	female
Anas_platyrhynchos	PRJNA450892	SAMN08952551	S8	female
Anas_platyrhynchos	PRJNA450892	SAMN08952550	S7	female
Anas_platyrhynchos	PRJNA450892	SAMN08952553	S10	female
Anas_platyrhynchos	PRJNA450892	SAMN08952552	S9	female
Anas_platyrhynchos	PRJNA450892	SAMN08952567	S24	female
Anas_platyrhynchos	PRJNA450892	SAMN08952564	S21	female
Anas_platyrhynchos	PRJNA450892	SAMN08952565	S22	female
Anas_platyrhynchos	PRJNA450892	SAMN08952570	S27	female
Anas_platyrhynchos	PRJNA450892	SAMN08952571	S28	female
Anas_platyrhynchos	PRJNA450892	SAMN08952568	S25	female
Anas_platyrhynchos	PRJNA450892	SAMN08952569	S26	female
Anas_platyrhynchos	PRJNA450892	SAMN08952572	S29	female
Anas_platyrhynchos	PRJNA450892	SAMN08952573	S30	female
Anas_platyrhynchos	PRJNA450892	SAMN08952584	S41	male
Anas_platyrhynchos	PRJNA450892	SAMN08952585	S42	female
Anas_platyrhynchos	PRJNA450892	SAMN08952586	S43	female
Anas_platyrhynchos	PRJNA450892	SAMN08952587	S44	male
Anas_platyrhynchos	PRJNA450892	SAMN08952588	S45	female
Anas_platyrhynchos	PRJNA450892	SAMN08952589	S46	female
Anas_platyrhynchos	PRJNA450892	SAMN08952590	S47	male
Anas_platyrhynchos	PRJNA450892	SAMN08952591	S48	female
Anas_platyrhynchos	PRJNA450892	SAMN08952592	S49	female
Anas_platyrhynchos	PRJNA450892	SAMN08952593	S50	male
Anas_platyrhynchos	PRJNA450892	SAMN08952623	S80	male
Anas_platyrhynchos	PRJNA450892	SAMN08952622	S79	female
Anas_platyrhynchos	PRJNA450892	SAMN08952619	S76	female
Anas_platyrhynchos	PRJNA450892	SAMN08952618	S75	female
Anas_platyrhynchos	PRJNA450892	SAMN08952621	S78	male
Anas_platyrhynchos	PRJNA450892	SAMN08952620	S77	female
Anas_platyrhynchos	PRJNA450892	SAMN08952615	S72	female
Anas_platyrhynchos	PRJNA450892	SAMN08952614	S71	male
Anas_platyrhynchos	PRJNA450892	SAMN08952617	S74	male
Anas_platyrhynchos	PRJNA450892	SAMN08952616	S73	female
Anas_platyrhynchos	PRJNA450892	SAMN08952636	S93	male
Anas_platyrhynchos	PRJNA450892	SAMN08952635	S92	male
