Organism	BioProject	BioSample	SampleName
Amphilophus_citrinellus	PRJEB38173	SAMEA6815782	SAMEA6815782
Amphilophus_citrinellus	PRJEB38173	SAMEA6815816	SAMEA6815816
Amphilophus_citrinellus	PRJEB38173	SAMEA6816021	SAMEA6816021
Amphilophus_citrinellus	PRJEB38173	SAMEA6816100	SAMEA6816100
Amphilophus_citrinellus	PRJEB38173	SAMEA6815915	SAMEA6815915
Amphilophus_citrinellus	PRJEB38173	SAMEA6815653	SAMEA6815653
Amphilophus_citrinellus	PRJEB38173	SAMEA6815654	SAMEA6815654
Amphilophus_citrinellus	PRJEB38173	SAMEA6815655	SAMEA6815655
Amphilophus_citrinellus	PRJEB38173	SAMEA6815657	SAMEA6815657
Amphilophus_citrinellus	PRJEB38173	SAMEA6815658	SAMEA6815658
Amphilophus_citrinellus	PRJEB38173	SAMEA6815659	SAMEA6815659
Amphilophus_citrinellus	PRJEB38173	SAMEA6815660	SAMEA6815660
Amphilophus_citrinellus	PRJEB38173	SAMEA6815661	SAMEA6815661
Amphilophus_citrinellus	PRJEB38173	SAMEA6815662	SAMEA6815662
Amphilophus_citrinellus	PRJEB38173	SAMEA6815663	SAMEA6815663
Amphilophus_citrinellus	PRJEB38173	SAMEA6815664	SAMEA6815664
Amphilophus_citrinellus	PRJEB38173	SAMEA6815665	SAMEA6815665
Amphilophus_citrinellus	PRJEB38173	SAMEA6815666	SAMEA6815666
Amphilophus_citrinellus	PRJEB38173	SAMEA6815667	SAMEA6815667
Amphilophus_citrinellus	PRJEB38173	SAMEA6815669	SAMEA6815669
Amphilophus_citrinellus	PRJEB38173	SAMEA6815670	SAMEA6815670
Amphilophus_citrinellus	PRJEB38173	SAMEA6815671	SAMEA6815671
Amphilophus_citrinellus	PRJEB38173	SAMEA6815672	SAMEA6815672
Amphilophus_citrinellus	PRJEB38173	SAMEA6815674	SAMEA6815674
Amphilophus_citrinellus	PRJEB38173	SAMEA6815675	SAMEA6815675
Amphilophus_citrinellus	PRJEB38173	SAMEA6815676	SAMEA6815676
Amphilophus_citrinellus	PRJEB38173	SAMEA6815677	SAMEA6815677
Amphilophus_citrinellus	PRJEB38173	SAMEA6815678	SAMEA6815678
Amphilophus_citrinellus	PRJEB38173	SAMEA6815680	SAMEA6815680
Amphilophus_citrinellus	PRJEB38173	SAMEA6815682	SAMEA6815682
Amphilophus_citrinellus	PRJEB38173	SAMEA6815683	SAMEA6815683
Amphilophus_citrinellus	PRJEB38173	SAMEA6815684	SAMEA6815684
Amphilophus_citrinellus	PRJEB38173	SAMEA6815685	SAMEA6815685
Amphilophus_citrinellus	PRJEB38173	SAMEA6815686	SAMEA6815686
Amphilophus_citrinellus	PRJEB38173	SAMEA6815687	SAMEA6815687
Amphilophus_citrinellus	PRJEB38173	SAMEA6815688	SAMEA6815688
Amphilophus_citrinellus	PRJEB38173	SAMEA6815689	SAMEA6815689
Amphilophus_citrinellus	PRJEB38173	SAMEA6815690	SAMEA6815690
Amphilophus_citrinellus	PRJEB38173	SAMEA6815691	SAMEA6815691
Amphilophus_citrinellus	PRJEB38173	SAMEA6815692	SAMEA6815692
Amphilophus_citrinellus	PRJEB38173	SAMEA6815693	SAMEA6815693
Amphilophus_citrinellus	PRJEB38173	SAMEA6815694	SAMEA6815694
Amphilophus_citrinellus	PRJEB38173	SAMEA6815695	SAMEA6815695
Amphilophus_citrinellus	PRJEB38173	SAMEA6815696	SAMEA6815696
Amphilophus_citrinellus	PRJEB38173	SAMEA6815697	SAMEA6815697
Amphilophus_citrinellus	PRJEB38173	SAMEA6815699	SAMEA6815699
Amphilophus_citrinellus	PRJEB38173	SAMEA6815700	SAMEA6815700
Amphilophus_citrinellus	PRJEB38173	SAMEA6815702	SAMEA6815702
Amphilophus_citrinellus	PRJEB38173	SAMEA6815703	SAMEA6815703
Amphilophus_citrinellus	PRJEB38173	SAMEA6815704	SAMEA6815704
Amphilophus_citrinellus	PRJEB38173	SAMEA6815705	SAMEA6815705
Amphilophus_citrinellus	PRJEB38173	SAMEA6815706	SAMEA6815706
Amphilophus_citrinellus	PRJEB38173	SAMEA6815707	SAMEA6815707
Amphilophus_citrinellus	PRJEB38173	SAMEA6815708	SAMEA6815708
Amphilophus_citrinellus	PRJEB38173	SAMEA6815709	SAMEA6815709
Amphilophus_citrinellus	PRJEB38173	SAMEA6815710	SAMEA6815710
Amphilophus_citrinellus	PRJEB38173	SAMEA6815711	SAMEA6815711
Amphilophus_citrinellus	PRJEB38173	SAMEA6815712	SAMEA6815712
Amphilophus_citrinellus	PRJEB38173	SAMEA6815713	SAMEA6815713
Amphilophus_citrinellus	PRJEB38173	SAMEA6815714	SAMEA6815714
