Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	sub_species	sample_name	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	External_Id	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Submitter_Id	common_name	lat_lon	collected_by	tissue_type	geographic_location_(region_and_locality)
ERR845320	WGS	200	2697638200	PRJEB9057	SAMEA3334435	1908374607	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX926231	Illumina HiSeq 2000	DNA_340	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334435	ERP010115	missing	orientalis	DNA_340	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334435	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:37Z	public	DNA_340	NA	NA	NA	NA	NA
ERR845321	WGS	200	2602926600	PRJEB9057	SAMEA3334642	1754099636	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX926232	Illumina HiSeq 2000	DNA_341	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334642	ERP010115	missing	orientalis	DNA_341	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334642	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:09:15Z	public	DNA_341	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849861	WGS	200	5972340400	PRJEB9057	SAMEA3334643	4042957405	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930772	Illumina HiSeq 2000	DNA_342	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334643	ERP010115	missing	orientalis	DNA_342	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334643	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:43Z	public	DNA_342	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849862	WGS	200	2975910800	PRJEB9057	SAMEA3334441	2103460491	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930773	Illumina HiSeq 2000	DNA_343	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334441	ERP010115	missing	NA	DNA_343	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334441	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:28:52Z	public	DNA_343	hooded crow	NA	NA	NA	NA
ERR849863	WGS	200	3149581400	PRJEB9057	SAMEA3334442	2214412879	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930774	Illumina HiSeq 2000	DNA_344	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334442	ERP010115	missing	NA	DNA_344	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334442	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:28:52Z	public	DNA_344	hooded crow	NA	NA	NA	NA
ERR849864	WGS	200	3552244200	PRJEB9057	SAMEA3334594	2502480474	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930775	Illumina HiSeq 2000	DNA_345	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334594	ERP010115	missing	orientalis	DNA_345	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334594	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_345	NA	NA	NA	NA	NA
ERR849865	WGS	200	1863311200	PRJEB9057	SAMEA3334644	1281890315	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930776	Illumina HiSeq 2000	DNA_346	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334644	ERP010115	missing	orientalis	DNA_346	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334644	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:43Z	public	DNA_346	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849866	WGS	200	3041540400	PRJEB9057	SAMEA3334625	2057190503	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930777	Illumina HiSeq 2000	DNA_347	PAIRED	RANDOM	GENOMIC	Corvus_pectoralis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334625	ERP010115	missing	NA	DNA_347	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334625	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:39Z	public	DNA_347	collared crow	NA	NA	NA	NA
ERR849867	WGS	200	3671347600	PRJEB9057	SAMEA3334443	2593929390	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930778	Illumina HiSeq 2000	DNA_348	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334443	ERP010115	missing	NA	DNA_348	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334443	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:21Z	public	DNA_348	hooded crow	NA	NA	NA	NA
ERR849868	WGS	200	12547010600	PRJEB9057	SAMEA3334645	8561964523	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930779	Illumina HiSeq 2000	DNA_349	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334645	ERP010115	missing	orientalis	DNA_349	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334645	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:43Z	public	DNA_349	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
