Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype	Strain
Astyanax_mexicanus	PRJNA260715	SAMN03734634	Texas_Surface	not collected	not collected	Surface	not collected
Astyanax_mexicanus	PRJNA260715	SAMN03421319	Tinaja_C	not collected	NA	NA	Tinaja_C
Astyanax_mexicanus	PRJNA260715	SAMN03421321	Tinaja_D	not collected	NA	NA	Tinaja_D
Astyanax_mexicanus	PRJNA260715	SAMN03421322	Tinaja_5	not collected	NA	NA	Tinaja_5
Astyanax_mexicanus	PRJNA260715	SAMN03421323	Tinaja_E	not collected	NA	NA	Tinaja_E
Astyanax_mexicanus	PRJNA260715	SAMN03421324	Rascon_13	not collected	NA	NA	Rascon_13
Astyanax_mexicanus	PRJNA260715	SAMN03421325	Rascon_15	not collected	NA	NA	Rascon_15
Astyanax_mexicanus	PRJNA260715	SAMN03421326	Rascon_8	not collected	NA	NA	Rascon_8
Astyanax_mexicanus	PRJNA260715	SAMN03421314	Tinaja_11	not collected	NA	NA	Tinaja_11
Astyanax_mexicanus	PRJNA260715	SAMN03421315	Tinaja_6	not collected	NA	NA	Tinaja_6
Astyanax_mexicanus	PRJNA260715	SAMN03421316	Tinaja_12	not collected	NA	NA	Tinaja_12
Astyanax_mexicanus	PRJNA260715	SAMN03421317	Tinaja_B	not collected	NA	NA	Tinaja_B
Astyanax_mexicanus	PRJNA260715	SAMN03421318	Tinaja_2	not collected	NA	NA	Tinaja_2
Astyanax_mexicanus	PRJNA260715	SAMN03421320	Tinaja_3	not collected	NA	NA	Tinaja_3
Astyanax_mexicanus	PRJNA260715	SAMN03421327	Rascon_6	not collected	NA	NA	Rascon_6
Astyanax_mexicanus	PRJNA260715	SAMN03024475	Choy_01	not collected	NA	NA	Choy_01
Astyanax_mexicanus	PRJNA260715	SAMN03024476	Choy_05	not collected	NA	NA	Choy_05
Astyanax_mexicanus	PRJNA260715	SAMN03024477	Choy_06	not collected	NA	NA	Choy_06
Astyanax_mexicanus	PRJNA260715	SAMN03024478	Choy_09	not collected	NA	NA	Choy_09
Astyanax_mexicanus	PRJNA260715	SAMN03024479	Choy_10	not collected	NA	NA	Choy_10
Astyanax_mexicanus	PRJNA260715	SAMN03024480	Choy_11	not collected	NA	NA	Choy_11
Astyanax_mexicanus	PRJNA260715	SAMN03024481	Choy_12	not collected	NA	NA	Choy_12
Astyanax_mexicanus	PRJNA260715	SAMN03024482	Choy_13	not collected	NA	NA	Choy_13
Astyanax_mexicanus	PRJNA260715	SAMN03024483	Choy_14	not collected	NA	NA	Choy_14
Astyanax_mexicanus	PRJNA260715	SAMN03024484	Pach_3	not collected	NA	NA	Pach_3
Astyanax_mexicanus	PRJNA260715	SAMN03024485	Pach_7	not collected	NA	NA	Pach_7
Astyanax_mexicanus	PRJNA260715	SAMN03024486	Pach_8	not collected	NA	NA	Pach_8
Astyanax_mexicanus	PRJNA260715	SAMN03024487	Pach_9	not collected	NA	NA	Pach_9
Astyanax_mexicanus	PRJNA260715	SAMN03024488	Pach_11	not collected	NA	NA	Pach_11
Astyanax_mexicanus	PRJNA260715	SAMN03024489	Pach_12	not collected	NA	NA	Pach_12
Astyanax_mexicanus	PRJNA260715	SAMN03024490	Pach_14	not collected	NA	NA	Pach_14
Astyanax_mexicanus	PRJNA260715	SAMN03024491	Pach_15	not collected	NA	NA	Pach_15
Astyanax_mexicanus	PRJNA260715	SAMN03024492	Pach_17	not collected	NA	NA	Pach_17
Astyanax_mexicanus	PRJNA260715	SAMN03024493	Molino_2a	not collected	NA	NA	Molino_2a
Astyanax_mexicanus	PRJNA260715	SAMN03024494	Molino_7a	not collected	NA	NA	Molino_7a
Astyanax_mexicanus	PRJNA260715	SAMN03024495	Molino_9b	not collected	NA	NA	Molino_9b
Astyanax_mexicanus	PRJNA260715	SAMN03024496	Molino_10b	not collected	NA	NA	Molino_10b
Astyanax_mexicanus	PRJNA260715	SAMN03024497	Molino_11a	not collected	NA	NA	Molino_11a
Astyanax_mexicanus	PRJNA260715	SAMN03024498	Molino_12a	not collected	NA	NA	Molino_12a
Astyanax_mexicanus	PRJNA260715	SAMN03024499	Molino_13b	not collected	NA	NA	Molino_13b
Astyanax_mexicanus	PRJNA260715	SAMN03024500	Molino_14a	not collected	NA	NA	Molino_14a
Astyanax_mexicanus	PRJNA260715	SAMN03024501	Molino_15b	not collected	NA	NA	Molino_15b
Astyanax_mexicanus	PRJNA260715	SAMN03024502	Rascon_02	not collected	NA	NA	Rascon_02
Astyanax_mexicanus	PRJNA260715	SAMN03024503	Rascon_04	not collected	NA	NA	Rascon_04
