Organism	BioProject	BioSample	SampleName	Isolate	Country	Continent	Locality	Ecotype	Strain
Symphodus_melops	PRJNA354496	SAMN06046553	ARD6	not applicable	United Kingdom	Europe	United Kingdom: Scotland	Scotland	not applicable
Symphodus_melops	PRJNA354496	SAMN06046592	ST44	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046551	ARD21	not applicable	United Kingdom	Europe	United Kingdom: Scotland	Scotland	not applicable
Symphodus_melops	PRJNA354496	SAMN06046587	SM117	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046569	GF23	not applicable	Sweden	Europe	Sweden	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046547	AR68	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046555	EG21	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046593	ST45	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046598	TV66	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046599	TV67	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046583	SM113	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046591	ST43	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046572	GF49	not applicable	Sweden	Europe	Sweden	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046575	NH63	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046595	ST47	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046570	GF28	not applicable	Sweden	Europe	Sweden	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046563	GF01	not applicable	Sweden	Europe	Sweden	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046588	SM118	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046546	AR67	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046544	AR65	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046564	GF02	not applicable	Sweden	Europe	Sweden	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046552	ARD23	not applicable	United Kingdom	Europe	United Kingdom: Scotland	Scotland	not applicable
Symphodus_melops	PRJNA354496	SAMN06046558	EG24	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046542	AR63	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046578	NH67	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046580	NH69	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046567	GF05	not applicable	Sweden	Europe	Sweden	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046540	AR61	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046545	AR66	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046556	EG22	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046541	AR62	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046579	NH68	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046543	AR64	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046577	NH65	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046581	SM111	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046596	ST48	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046594	ST46	not applicable	Norway	Europe	Norway	Western Norway	not applicable
Symphodus_melops	PRJNA354496	SAMN06046562	EG28	not applicable	Norway	Europe	Norway	Southern Norway	not applicable
