BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Collection_date	use_species
PRJNA477377	SRR7411987	WGS	300	4821151200	SAMN09469411	2183083146	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283481	Illumina HiSeq 4000	Ptym_1_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_1	SRP151119	Model organism or animal	male	right pectoral fin	1	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411993	WGS	300	3455107500	SAMN09469403	1543817079	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283475	Illumina HiSeq 4000	Ptym_7_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_7	SRP151119	Model organism or animal	female	right pectoral fin	7	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412000	WGS	300	4921147500	SAMN09469406	2186195497	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283468	Illumina HiSeq 4000	Ptym_15_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_15	SRP151119	Model organism or animal	female	right pectoral fin	15	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412002	WGS	300	2368994700	SAMN09469419	1075682332	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283466	Illumina HiSeq 4000	Ptym_16_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_16	SRP151119	Model organism or animal	male	right pectoral fin	16	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412004	WGS	300	6176867700	SAMN09469416	2798955048	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283464	Illumina HiSeq 4000	Ptym_12_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_12	SRP151119	Model organism or animal	male	right pectoral fin	12	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412007	WGS	300	3031778100	SAMN09469423	1394553682	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283461	Illumina HiSeq 4000	Ptym_23_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_23	SRP151119	Model organism or animal	male	right pectoral fin	23	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412008	WGS	300	6133248300	SAMN09469405	2790368882	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283460	Illumina HiSeq 4000	Ptym_11_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_11	SRP151119	Model organism or animal	female	right pectoral fin	11	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412019	WGS	300	4228056600	SAMN09469421	1962007852	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283449	Illumina HiSeq 4000	Ptym_20_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_20	SRP151119	Model organism or animal	male	right pectoral fin	20	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412020	WGS	300	3485760300	SAMN09469422	1594340901	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283448	Illumina HiSeq 4000	Ptym_21_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_21	SRP151119	Model organism or animal	male	right pectoral fin	21	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412021	WGS	300	4180209000	SAMN09469408	1931788122	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283447	Illumina HiSeq 4000	Ptym_19_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_19	SRP151119	Model organism or animal	female	right pectoral fin	19	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412022	WGS	300	4139442000	SAMN09469412	1882229075	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283446	Illumina HiSeq 4000	Ptym_2_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_2	SRP151119	Model organism or animal	male	right pectoral fin	2	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412023	WGS	300	4315821900	SAMN09469407	1947351268	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283445	Illumina HiSeq 4000	Ptym_17_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_17	SRP151119	Model organism or animal	female	right pectoral fin	17	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7412024	WGS	300	5351988600	SAMN09469420	2438725502	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283444	Illumina HiSeq 4000	Ptym_18_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_18	SRP151119	Model organism or animal	male	right pectoral fin	18	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411958	WGS	300	2565126000	SAMN09469400	1166261523	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283510	Illumina HiSeq 4000	Ptym_4_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_4	SRP151119	Model organism or animal	female	right pectoral fin	4	adult	Monshizu_pond	2016-11-03	0
PRJNA477377	SRR7411992	WGS	300	4372283400	SAMN09469410	1933369035	KIRKPATRICK LAB AT UNIVERSITY OF TEXAS AUSTIN	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4283476	Illumina HiSeq 4000	Ptym_26_lib	PAIRED	RANDOM	GENOMIC	Pungitius_tymensis	ILLUMINA	2018-09-01T00:00:00Z	P.tym_Mon_26	SRP151119	Model organism or animal	female	right pectoral fin	26	adult	Monshizu_pond	2016-11-03	0
