BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	geo_loc_name_country	geo_loc_name_country_continent	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	dangling_references (run)	use_species
PRJEB7359	ERR693851	WGS	200	16507840400	SAMEA3167992	7296412199	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638831	Illumina HiSeq 2000	CZP_522956_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167992	ERP007074	male	Czech Republic	Europe	ERS622610	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622610	CZP_522956	CZP_522956	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693852	WGS	224	16605065700	SAMEA3167993	7958730063	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638832	Illumina HiSeq 2000	CZP_522957_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167993	ERP007074	female	Czech Republic	Europe	ERS622611	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622611	CZP_522957	CZP_522957	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693854	WGS	200	28794783800	SAMEA3167995	13286423119	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638834	Illumina HiSeq 2000	CZP_522960_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167995	ERP007074	male	Czech Republic	Europe	ERS622613	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622613	CZP_522960	CZP_522960	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693855	WGS	200	17128101200	SAMEA3167996	7562803961	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638835	Illumina HiSeq 2000	CZP_522961_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167996	ERP007074	female	Czech Republic	Europe	ERS622614	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622614	CZP_522961	CZP_522961	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693856	WGS	200	17233314800	SAMEA3167997	7813198136	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638836	Illumina HiSeq 2000	CZP_522963_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167997	ERP007074	male	Czech Republic	Europe	ERS622615	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622615	CZP_522963	CZP_522963	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693857	WGS	200	17751443000	SAMEA3167998	8015540276	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638837	Illumina HiSeq 2000	CZP_522964_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167998	ERP007074	male	Czech Republic	Europe	ERS622616	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622616	CZP_522964	CZP_522964	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR693858	WGS	200	13898944200	SAMEA3167999	6342582681	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX638838	Illumina HiSeq 2000	CZP_522965_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3167999	ERP007074	female	Czech Republic	Europe	ERS622617	2014-12-04	2018-11-16	Czech Republic	Uppsala University	Uppsala University	2014-12-04T17:04:51Z	2014-12-04T10:29:14Z	public	ERS622617	CZP_522965	CZP_522965	GCF_000247815.1	NA	ERC000011	NA	1
PRJEB7359	ERR699270	WGS	200	25562481200	SAMEA3172316	11314248255	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643709	Illumina HiSeq 2000	OP_CA91255_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172316	ERP007074	female	Sweden	Europe	ERS626559	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:58Z	public	ERS626559	OP_CA91255	OP_CA91255	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699271	WGS	200	18900740800	SAMEA3172317	8832124335	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643710	Illumina HiSeq 2000	OP_CA91262_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172317	ERP007074	male	Sweden	Europe	ERS626560	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:58Z	public	ERS626560	OP_CA91262	OP_CA91262	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
PRJEB7359	ERR699272	WGS	200	16203669600	SAMEA3172318	7285726070	UPPSALA  UNIVERSITY	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX643711	Illumina HiSeq 2000	OP_CC30243_450	PAIRED	unspecified	GENOMIC	Ficedula_hypoleuca	ILLUMINA	2015-01-29T00:00:00Z	SAMEA3172318	ERP007074	female	Sweden	Europe	ERS626561	2014-12-10	2018-11-16	Sweden	Uppsala University	Uppsala University	2014-12-10T17:02:49Z	2014-12-10T12:34:58Z	public	ERS626561	OP_CC30243	OP_CC30243	GCF_000247815.1	Sampled on the Baltic island Öland.	ERC000011	NA	1
