Organism	BioProject	BioSample	SampleName
Taeniopygia_guttata	PRJEB10586	SAMEA3532852	SAMEA3532852
Taeniopygia_guttata	PRJEB10586	SAMEA3532853	SAMEA3532853
Taeniopygia_guttata	PRJEB10586	SAMEA3532854	SAMEA3532854
Taeniopygia_guttata	PRJEB10586	SAMEA3532855	SAMEA3532855
Taeniopygia_guttata	PRJEB10586	SAMEA3532856	SAMEA3532856
Taeniopygia_guttata	PRJEB10586	SAMEA3532857	SAMEA3532857
Taeniopygia_guttata	PRJEB10586	SAMEA3532858	SAMEA3532858
Taeniopygia_guttata	PRJEB10586	SAMEA3532859	SAMEA3532859
Taeniopygia_guttata	PRJEB10586	SAMEA3532860	SAMEA3532860
Taeniopygia_guttata	PRJEB10586	SAMEA3532861	SAMEA3532861
Taeniopygia_guttata	PRJEB10586	SAMEA3532862	SAMEA3532862
Taeniopygia_guttata	PRJEB10586	SAMEA3532863	SAMEA3532863
Taeniopygia_guttata	PRJEB10586	SAMEA3532864	SAMEA3532864
Taeniopygia_guttata	PRJEB10586	SAMEA3532865	SAMEA3532865
Taeniopygia_guttata	PRJEB10586	SAMEA3532866	SAMEA3532866
Taeniopygia_guttata	PRJEB10586	SAMEA3532867	SAMEA3532867
Taeniopygia_guttata	PRJEB10586	SAMEA3532868	SAMEA3532868
Taeniopygia_guttata	PRJEB10586	SAMEA3532869	SAMEA3532869
Taeniopygia_guttata	PRJEB10586	SAMEA3532870	SAMEA3532870
Taeniopygia_guttata	PRJEB10586	SAMEA3532871	SAMEA3532871
Taeniopygia_guttata	PRJEB10586	SAMEA3532872	SAMEA3532872
Taeniopygia_guttata	PRJEB10586	SAMEA3532873	SAMEA3532873
Taeniopygia_guttata	PRJEB10586	SAMEA3532874	SAMEA3532874
Taeniopygia_guttata	PRJEB10586	SAMEA3532875	SAMEA3532875
