Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype	Strain
Anolis_carolinensis	PRJNA533001	SAMN11458508	AC36-1	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458507	AC27-4	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458506	AC27-3	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458511	AC8-8	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458510	AC8-13	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458509	AC38-4	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458514	CC-8	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458513	CC-3	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458504	AC20-1	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458503	AC13-8	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458496	18-3	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458495	15-3	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458498	25-4	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458497	22-4	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458500	AC13-4	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458502	AC13-7	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458501	AC13-5	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458523	VB-7	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458517	SB-3	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458518	SB-4	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458515	LA-2	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458521	TX-8	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458522	VB-6	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458520	TV-8	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458516	LJ-1	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458519	TV-2	not collected	not applicable	not applicable	not applicable
Anolis_carolinensis	PRJNA533001	SAMN11458505	AC20-6	not collected	not applicable	not applicable	not applicable
