Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Coilia_nasus	PRJNA422339	SAMN13381282	anchovy_sample74	not determined	sample74	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381281	anchovy_sample73	not determined	sample73	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381284	anchovy_sample76	not determined	sample76	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381283	anchovy_sample75	not determined	sample75	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381286	anchovy_sample78	not determined	sample78	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381285	anchovy_sample77	not determined	sample77	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381296	anchovy_sample88	not determined	sample88	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381210	anchovy_sample2	not determined	sample2	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381250	anchovy_sample42	not determined	sample42	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381223	anchovy_sample15	not determined	sample15	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381270	anchovy_sample62	not determined	sample62	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381302	anchovy_sample94	not determined	sample94	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
