Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Sylvia_borin	PRJNA616371	SAMN14488565	GW09	male	GW09	Sylvia borin
Sylvia_borin	PRJNA616371	SAMN14488564	GW07	male	GW07	Sylvia borin
Sylvia_borin	PRJNA616371	SAMN14488563	GW04	male	GW04	Sylvia borin
Sylvia_borin	PRJNA616371	SAMN14488562	GW03	male	GW03	Sylvia borin
Sylvia_borin	PRJNA616371	SAMN14488561	GW01	male	GW01	Sylvia borin
