BioSample	lat_lon
SAMD00239084	
SAMN01055121	
SAMN08888528	
SAMN09545661	
SAMN10662616	
SAMN12253750	14.83 S 60.42 W
SAMN12253800	9.08 N 81.85 W
SAMN12253894	3.88 N 59.58 W
SAMN13737505	
SAMN13737506	
SAMN13737507	
SAMN13737508	
SAMN13737509	
SAMN13737510	
SAMN13737511	
SAMN13737512	
SAMN13737513	
SAMN13737514	
SAMN18104312	29.89 N 122.30 E
SAMN18196672	
SAMN18196673	
SAMN18196674	
SAMN18196675	
SAMN18196676	
SAMN18196677	
SAMN18196678	
SAMN18196679	
SAMN18196680	
SAMN18196681	
SAMN18196682	
SAMN18196683	
SAMN18196684	
SAMN18196685	
SAMN18196686	
SAMN18196687	
SAMN18196688	
SAMN18196689	
SAMN18196690	
SAMN18196691	
SAMN18196692	
SAMN18196693	
SAMN18196694	
SAMN18196695	
SAMN18196696	
SAMN18196697	
SAMN18196698	
SAMN18196699	
SAMN18196700	
SAMN18196701	
SAMN18196702	
SAMN18196703	
SAMN18196704	
SAMN18196705	
SAMN18196706	
SAMN18196707	
SAMN18196708	
SAMN18196709	
SAMN18196710	
SAMN18196711	
SAMN18196712	
SAMN18196713	
SAMN18196714	
SAMN18196715	
SAMN18196716	
SAMN18196717	
SAMN18196718	
SAMN18196719	
SAMN18196720	
SAMN18196721	
SAMN18196722	
SAMN18196723	
SAMN18196724	
SAMN18196725	
SAMN18196726	
SAMN18196727	
SAMN18196728	
SAMN18196729	
SAMN18196730	
SAMN18196731	
SAMN18196732	
SAMN18196733	
SAMN18196734	
SAMN18196735	
SAMN18196736	
SAMN18196737	
SAMN18196738	
SAMN18196739	
SAMN18196740	
SAMN18196741	
SAMN18196742	
SAMN18196743	
SAMN18196744	
SAMN18196745	
SAMN18196746	
SAMN18196747	
SAMN18196748	
SAMN18196749	
SAMN18196750	
SAMN18196751	
SAMN18196752	
SAMN18196753	
SAMN18196754	
SAMN18196755	
SAMN18196756	
SAMN18196757	
SAMN18196758	
SAMN18196759	
SAMN18196760	
SAMN18196761	
SAMN18196762	
