BioSample,lat_lon
SAMN16492784,58.939666 N 11.176402 E
SAMN16492832,37.012167 N 10.191194 E
SAMN16492884,58.588932 N 16.18397 E
SAMN16492871,58.588932 N 16.18397 E
SAMN16492867,58.588932 N 16.18397 E
SAMN16492865,58.588932 N 16.18397 E
SAMN16492856,58.588932 N 16.18397 E
SAMN16492850,37.012167 N 10.191194 E
SAMN16492845,37.012167 N 10.191194 E
SAMN16492843,37.012167 N 10.191194 E
SAMN16492839,37.012167 N 10.191194 E
SAMN16492660,34.274454 N 6.566088 W
SAMN16492835,37.012167 N 10.191194 E
SAMN16492827,37.012167 N 10.191194 E
SAMN16492837,37.012167 N 10.191194 E
SAMN16492821,37.012167 N 10.191194 E
SAMN16492816,37.012167 N 10.191194 E
SAMN16492814,37.012167 N 10.191194 E
SAMN16492808,37.012167 N 10.191194 E
SAMN16492803,37.012167 N 10.191194 E
SAMN16492800,37.012167 N 10.191194 E
SAMN16492795,37.012167 N 10.191194 E
SAMN16492658,34.274454 N 6.566088 W
SAMN16492445,47.498587 N 2.384849 W
SAMN16492769,58.939666 N 11.176402 E
SAMN16492759,58.939666 N 11.176402 E
SAMN16492757,58.939666 N 11.176402 E
SAMN16492754,57.26626 N 12.106816 E
SAMN16492728,57.26626 N 12.106816 E
SAMN16492725,57.26626 N 12.106816 E
SAMN16492720,37.721472 N 8.782361 W
SAMN16492710,37.721472 N 8.782361 W
SAMN16492532,54.504526 N 8.230453 W
SAMN16492438,47.498587 N 2.384849 W
SAMN16492432,47.498587 N 2.384849 W
SAMN16492428,47.498587 N 2.384849 W
SAMN16492425,47.498587 N 2.384849 W
SAMN16492424,47.498587 N 2.384849 W
SAMN16492417,47.498587 N 2.384849 W
SAMN16492899,58.588932 N 16.18397 E
SAMN16492889,58.588932 N 16.18397 E
SAMN16492524,51.993503 N 2.174012 W
SAMN16492447,47.498587 N 2.384849 W
SAMN16492860,58.588932 N 16.18397 E
SAMN16492844,37.012167 N 10.191194 E
SAMN16492841,37.012167 N 10.191194 E
SAMN16492833,37.012167 N 10.191194 E
SAMN16492822,37.012167 N 10.191194 E
SAMN16492521,51.993503 N 2.174012 W
SAMN16492819,37.012167 N 10.191194 E
SAMN16492654,34.274454 N 6.566088 W
SAMN16492708,37.721472 N 8.782361 W
SAMN16492702,37.721472 N 8.782361 W
SAMN16492700,37.721472 N 8.782361 W
SAMN16492677,37.721472 N 8.782361 W
SAMN16492675,34.274454 N 6.566088 W
SAMN16492661,34.274454 N 6.566088 W
SAMN16492640,34.274454 N 6.566088 W
SAMN16492617,55.5425 N 21.1219 E
SAMN16492613,55.5425 N 21.1219 E
SAMN16492602,55.5425 N 21.1219 E
SAMN16492650,34.274454 N 6.566088 W
SAMN16492609,55.5425 N 21.1219 E
SAMN16492593,55.5425 N 21.1219 E
SAMN16492592,55.5425 N 21.1219 E
SAMN16492588,55.5425 N 21.1219 E
SAMN16492581,55.5425 N 21.1219 E
SAMN16492579,55.5425 N 21.1219 E
SAMN16492574,54.504526 N 8.230453 W
SAMN16492571,54.504526 N 8.230453 W
SAMN16492568,54.504526 N 8.230453 W
SAMN16492659,34.274454 N 6.566088 W
SAMN16492566,54.504526 N 8.230453 W
SAMN16492558,54.504526 N 8.230453 W
SAMN16492545,54.504526 N 8.230453 W
SAMN16492543,54.504526 N 8.230453 W
SAMN16492535,54.504526 N 8.230453 W
SAMN16492530,51.993503 N 2.174012 W
SAMN16492527,51.993503 N 2.174012 W
SAMN16492511,51.993503 N 2.174012 W
SAMN16492812,37.012167 N 10.191194 E
SAMN16492801,37.012167 N 10.191194 E
SAMN16492799,37.012167 N 10.191194 E
SAMN16492796,37.012167 N 10.191194 E
SAMN16492793,37.012167 N 10.191194 E
SAMN16492778,58.939666 N 11.176402 E
SAMN16492774,58.939666 N 11.176402 E
SAMN16492752,57.26626 N 12.106816 E
SAMN16492744,57.26626 N 12.106816 E
SAMN16492516,51.993503 N 2.174012 W
SAMN16492738,57.26626 N 12.106816 E
SAMN16492737,57.26626 N 12.106816 E
SAMN16492704,37.721472 N 8.782361 W
SAMN16492701,37.721472 N 8.782361 W
SAMN16492698,37.721472 N 8.782361 W
SAMN16492707,37.721472 N 8.782361 W
SAMN16492689,37.721472 N 8.782361 W
SAMN16492678,37.721472 N 8.782361 W
SAMN16492507,51.993503 N 2.174012 W
SAMN16492676,34.274454 N 6.566088 W
SAMN16492673,34.274454 N 6.566088 W
SAMN16492668,34.274454 N 6.566088 W
SAMN16492655,34.274454 N 6.566088 W
SAMN16492652,34.274454 N 6.566088 W
SAMN16492642,34.274454 N 6.566088 W
SAMN16492648,34.274454 N 6.566088 W
SAMN16492636,34.274454 N 6.566088 W
SAMN16492621,55.5425 N 21.1219 E
SAMN16492615,55.5425 N 21.1219 E
SAMN16492504,51.993503 N 2.174012 W
SAMN16492441,47.498587 N 2.384849 W
SAMN16492437,47.498587 N 2.384849 W
SAMN16492435,47.498587 N 2.384849 W
SAMN16492429,47.498587 N 2.384849 W
SAMN16492436,47.498587 N 2.384849 W
SAMN16492638,34.274454 N 6.566088 W
SAMN16492418,47.498587 N 2.384849 W
SAMN16492414,47.498587 N 2.384849 W
SAMN16492413,47.498587 N 2.384849 W
SAMN16492409,47.498587 N 2.384849 W
SAMN16492887,58.588932 N 16.18397 E
SAMN16492881,58.588932 N 16.18397 E
SAMN16492879,58.588932 N 16.18397 E
SAMN16492869,58.588932 N 16.18397 E
SAMN16492864,58.588932 N 16.18397 E
SAMN16492831,37.012167 N 10.191194 E
SAMN16492632,34.274454 N 6.566088 W
SAMN16492829,37.012167 N 10.191194 E
SAMN16492828,37.012167 N 10.191194 E
SAMN16492820,37.012167 N 10.191194 E
SAMN16492826,37.012167 N 10.191194 E
SAMN16492815,37.012167 N 10.191194 E
SAMN16492804,37.012167 N 10.191194 E
SAMN16492794,37.012167 N 10.191194 E
SAMN16492790,37.012167 N 10.191194 E
SAMN16492601,55.5425 N 21.1219 E
SAMN16492597,55.5425 N 21.1219 E
SAMN16492584,55.5425 N 21.1219 E
SAMN16492580,55.5425 N 21.1219 E
SAMN16492573,54.504526 N 8.230453 W
SAMN16492572,54.504526 N 8.230453 W
SAMN16492563,54.504526 N 8.230453 W
SAMN16492553,54.504526 N 8.230453 W
SAMN16492537,54.504526 N 8.230453 W
SAMN16492534,54.504526 N 8.230453 W
SAMN16492533,54.504526 N 8.230453 W
SAMN16492529,51.993503 N 2.174012 W
SAMN16492510,51.993503 N 2.174012 W
SAMN16492452,47.498587 N 2.384849 W
SAMN16492444,47.498587 N 2.384849 W
SAMN16492443,47.498587 N 2.384849 W
SAMN16492426,47.498587 N 2.384849 W
SAMN16492416,47.498587 N 2.384849 W
SAMN16492410,47.498587 N 2.384849 W
SAMN16492891,58.588932 N 16.18397 E
SAMN16492868,58.588932 N 16.18397 E
SAMN16492859,58.588932 N 16.18397 E
SAMN16492858,58.588932 N 16.18397 E
SAMN16492857,58.588932 N 16.18397 E
SAMN16492587,55.5425 N 21.1219 E
SAMN16492578,54.504526 N 8.230453 W
SAMN16492564,54.504526 N 8.230453 W
SAMN16492552,54.504526 N 8.230453 W
SAMN16492538,54.504526 N 8.230453 W
SAMN16492519,51.993503 N 2.174012 W
SAMN16492513,51.993503 N 2.174012 W
SAMN16492834,37.012167 N 10.191194 E
SAMN16492830,37.012167 N 10.191194 E
SAMN16492806,37.012167 N 10.191194 E
SAMN16492791,37.012167 N 10.191194 E
SAMN16492789,37.012167 N 10.191194 E
SAMN16492786,37.012167 N 10.191194 E
SAMN16492781,58.939666 N 11.176402 E
SAMN16492772,58.939666 N 11.176402 E
SAMN16492746,57.26626 N 12.106816 E
SAMN16492729,57.26626 N 12.106816 E
SAMN16492717,37.721472 N 8.782361 W
SAMN16492713,37.721472 N 8.782361 W
SAMN16492693,37.721472 N 8.782361 W
SAMN16492692,37.721472 N 8.782361 W
SAMN16492687,37.721472 N 8.782361 W
SAMN16492682,37.721472 N 8.782361 W
SAMN16492674,34.274454 N 6.566088 W
SAMN16492671,34.274454 N 6.566088 W
SAMN16492670,34.274454 N 6.566088 W
SAMN16492649,34.274454 N 6.566088 W
SAMN16492643,34.274454 N 6.566088 W
SAMN16492641,34.274454 N 6.566088 W
SAMN16492637,34.274454 N 6.566088 W
SAMN16492610,55.5425 N 21.1219 E
SAMN16492620,55.5425 N 21.1219 E
SAMN16492608,55.5425 N 21.1219 E
SAMN16492598,55.5425 N 21.1219 E
SAMN16492449,47.498587 N 2.384849 W
SAMN16492411,47.498587 N 2.384849 W
SAMN16492898,58.588932 N 16.18397 E
SAMN16492894,58.588932 N 16.18397 E
SAMN16492892,58.588932 N 16.18397 E
