BioSample,Latitude,Longitude
SAMEA4785067,"28°02'06"" N","16°33'28"" W"
SAMEA4785068,"15°08'07.5"" N","23°32'44.9"" W"
SAMEA4785069,"15°08'07.5"" N","23°32'44.9"" W"
SAMEA4785090,"41°51'30.84"" N","15°27'03"" E"
SAMEA4785092,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785103,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785104,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785105,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785106,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785107,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785108,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785109,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785110,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785131,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785132,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785133,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785134,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785135,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785136,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785139,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785061,"28°02'06"" N","16°33'28"" W"
SAMEA4785140,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785091,"42°37'15.5"" N","70°34'18.9"" E"
SAMEA4785137,"40°23'36.2"" N","9°37'32.5""E"
SAMEA4785138,"40°23'36.2"" N","9°37'32.5""E"
SAMN06619711,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619710,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619709,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619708,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619707,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619706,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619704,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
SAMN06619703,"~ 41° 51'
30.84"" N","~ 15° 27' 03""
E"
