BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Depth,refGenome,refSpecies
PRJNA430094,SAMN08365940,Coryphaenoides_rupestris,missing,Crup_Cru15,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365936,Coryphaenoides_rupestris,missing,Crup_L45,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365954,Coryphaenoides_rupestris,missing,Crup_L48,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365950,Coryphaenoides_rupestris,missing,Crup_L025,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365951,Coryphaenoides_rupestris,missing,Crup_L27,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365952,Coryphaenoides_rupestris,missing,Crup_L42,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365953,Coryphaenoides_rupestris,missing,Crup_L44,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365946,Coryphaenoides_rupestris,missing,Crup_L017,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365947,Coryphaenoides_rupestris,missing,Crup_L019,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365949,Coryphaenoides_rupestris,missing,Crup_L023,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365914,Coryphaenoides_rupestris,missing,Crup_Cru8,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365915,Coryphaenoides_rupestris,missing,Crup_J70,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365930,Coryphaenoides_rupestris,missing,Crup_J85,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365931,Coryphaenoides_rupestris,missing,Crup_L01,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365928,Coryphaenoides_rupestris,missing,Crup_J82,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365929,Coryphaenoides_rupestris,missing,Crup_J83,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365926,Coryphaenoides_rupestris,missing,Crup_Cru24,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365927,Coryphaenoides_rupestris,missing,Crup_J67,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365906,Coryphaenoides_rupestris,missing,Crup_Cru28,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365907,Coryphaenoides_rupestris,missing,Crup_J100,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365908,Coryphaenoides_rupestris,missing,Crup_J86,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365909,Coryphaenoides_rupestris,missing,Crup_L06,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365910,Coryphaenoides_rupestris,missing,Crup_L26,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365911,Coryphaenoides_rupestris,missing,Crup_L35,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365912,Coryphaenoides_rupestris,missing,Crup_L49,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365913,Coryphaenoides_rupestris,missing,Crup_Cru26,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365945,Coryphaenoides_rupestris,missing,Crup_J80,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365905,Coryphaenoides_rupestris,missing,Crup_Cru22,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365934,Coryphaenoides_rupestris,missing,Crup_L31,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365901,Coryphaenoides_rupestris,missing,Crup_L05,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365902,Coryphaenoides_rupestris,missing,Crup_L36,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365896,Coryphaenoides_rupestris,missing,Crup_Cru19,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365897,Coryphaenoides_rupestris,missing,Crup_Cru7,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365898,Coryphaenoides_rupestris,missing,Crup_J71,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365899,Coryphaenoides_rupestris,missing,Crup_J87,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365941,Coryphaenoides_rupestris,missing,Crup_Cru9,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365904,Coryphaenoides_rupestris,missing,Crup_Cru21,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365917,Coryphaenoides_rupestris,missing,Crup_J77,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.29266667 N 9.881166667 W,"1800\, 1800",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365955,Coryphaenoides_rupestris,missing,Crup_L50,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.20616667 N 9.382666667 W,"1000\, 1062",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365948,Coryphaenoides_rupestris,missing,Crup_L022,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.297 N 9.633166667 W,"1500\, 1504",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365938,Coryphaenoides_rupestris,missing,Crup_Cru10,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
PRJNA430094,SAMN08365903,Coryphaenoides_rupestris,missing,Crup_Cru14,United Kingdom,Europe,"United Kingdom: Hebridies\, Scotland",56.23466667 N 9.256833333 W,"750\, 788",GCA_002895965.1,Coryphaenoides_rupestris
