BioSample,refGenome,Organism,lat,long
SAMEA104152953,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104152954,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104152955,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104152957,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104152958,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104152959,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104152960,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104156767,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156768,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156769,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156770,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156771,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156772,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156773,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156774,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156775,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104156776,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157447,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157448,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157449,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157450,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157451,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157452,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157453,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157454,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157455,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157456,GCA_016584745.1,Phylloscopus_collybita_abietinus,NA,NA
SAMEA104157457,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157458,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157459,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157460,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157461,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157462,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157463,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157464,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157465,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104157466,GCA_016584745.1,Phylloscopus_collybita_tristis,NA,NA
SAMEA104219275,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219276,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219277,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219278,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219279,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219280,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219281,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219282,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219283,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219284,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219285,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219286,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219287,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219288,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219289,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104219290,GCF_000633615.1,Poecilia_reticulata,NA,NA
SAMEA104363372,GCA_001700915.1,Passer_italiae,NA,NA
SAMEA104363373,GCA_001700915.1,Passer_italiae,NA,NA
